submission,score
AdEMAMix,0.583964646464647
Cautious NAdamW,0.35353535353535354
Lion,0.31313131313131315
Muon (JAX),0.3200757575757575
Muon (PyTorch),0.476010101010101
NAdamW,0.432449494949495
NAdamW (Baseline v0.5),0.5069444444444452
NAdamW (ResNet),0.20896464646464644
Schedule-Free AdamW,0.5252525252525261
Schedule-Free AdamW (JAX),0.4621212121212128
Schedule-Free AdamW (JAX v2),0.49558080808080884
Schedule-Free AdamW v2,0.6388888888888896
DiLoCo (Single Worker),0.15404040404040406
DiLoCo v2 (Single Worker),0.1464646464646465
