submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
AdEMAMix,7839.193164110184,1517.7321906089785,18025.89689064026,inf,inf,48894.85426735878,inf,6329.966245889664,17399.639942407608
Cautious NAdamW,inf,1608.188658952713,25738.981688261032,inf,inf,inf,inf,4992.686820983887,14232.458706855774
Lion,inf,1394.1750195026398,23172.039316177368,inf,inf,inf,inf,7223.987207174301,15475.552730083466
Muon (JAX),inf,1869.765276670456,20594.037749767303,inf,77162.91657114029,inf,inf,inf,inf
Muon (PyTorch),7141.604691028595,inf,15471.922557115557,inf,inf,inf,inf,1833.473667144776,14214.779582500458
NAdamW,7492.6946766376495,1800.7732002735138,25733.847669363025,inf,72015.5787293911,inf,inf,inf,inf
NAdamW (Baseline v0.5),8206.103132247925,1620.5153810977936,20589.912857055664,inf,inf,inf,inf,4089.775626659393,14865.7885992527
NAdamW (ResNet),inf,1920.545307636261,23163.02198767662,inf,inf,inf,inf,6349.506216049194,inf
Schedule-Free AdamW,10337.671689033508,1188.9131379127502,inf,inf,inf,inf,40463.388149023056,3640.148542404175,19957.71787595749
Schedule-Free AdamW (JAX),inf,2397.40203499794,12875.283079862596,inf,87468.86081624031,inf,inf,5446.973826885223,16161.202248096466
Schedule-Free AdamW (JAX v2),8204.54053902626,1850.625381946564,15451.99134683609,inf,84891.75501847267,inf,inf,5444.019295454025,inf
Schedule-Free AdamW v2,7480.571330547333,1128.837876081467,inf,inf,inf,55846.44081497192,41911.17554831505,6325.430662155151,10325.45705485344
DiLoCo (Single Worker),inf,2379.3425666093826,28314.819189310077,inf,inf,inf,inf,inf,inf
DiLoCo v2 (Single Worker),inf,2578.1419467926025,28313.97388148308,inf,inf,inf,inf,inf,inf
