global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.8067355,1.0792911,,,,,,,,,,,,,,
1,,,0.2338822569165911,1.0503485543387276,0.2263918110810442,1.0643814765273285,3554.0,0.2492391825454656,1.0592103397270316,3581.0,293.4855115413666,1202.6997423171997,293.4855115413666,909.214072227478,0.0,0.0
100,0.58511555,0.31966522,,,,,,,,,,,,,,
200,0.84495413,0.2872055,,,,,,,,,,,,,,
267,,,0.7189220019749233,0.2914102758680071,0.69427960792417,0.3141980619328573,3554.0,0.7117935943390463,0.316457416584491,3581.0,405.7374980449677,1318.7612783908844,405.7374980449677,912.9807786941528,0.0403687953948974,0.0
300,0.14739464,0.3305019,,,,,,,,,,,,,,
325,,,0.7236456871032715,0.2869799818311419,0.6989033730699564,0.3096517499538372,3554.0,0.7163627260192683,0.3117886106250873,3581.0,516.7382216453552,1433.3015594482422,516.7382216453552,916.4760720729828,0.0838174819946289,0.0
384,,,0.7263225146702358,0.2843142747879028,0.7018801163741559,0.3067048201080649,3554.0,0.7191767859012845,0.3088511168973401,3581.0,627.3856558799744,1547.485434770584,627.3856558799744,919.9714305400848,0.1241111755371093,0.0
400,0.34540698,0.33020735,,,,,,,,,,,,,,
448,,,0.7285888535635812,0.2822030271802629,0.7041294525094963,0.3045340706004678,3554.0,0.7213425539086498,0.3066737247691811,3581.0,740.0028374195099,1663.6948204040527,740.0028374195099,923.5110268592834,0.1758632659912109,0.0
500,0.41996875,0.23233199,,,,,,,,,,,,,,
508,,,0.7299267905099052,0.2805720908301217,0.705284483592431,0.3029464008973164,3554.0,0.7225556894242181,0.3050571879472389,3581.0,850.310658454895,1777.5802431106567,850.310658454895,927.0438272953032,0.2198495864868164,0.0
567,,,0.7313991274152484,0.2793379511151995,0.7066643521164533,0.3017546525481851,3554.0,0.7240040344221237,0.3037465938939891,3581.0,960.67160987854,1891.5165944099424,960.67160987854,930.574161529541,0.2641232013702392,0.0
600,0.09617477,0.28520492,,,,,,,,,,,,,,
629,,,0.7323377473013741,0.27824866771698,0.7075579315340109,0.3006292631871659,3554.0,0.724873082326864,0.3026491541730662,3581.0,1071.6827874183657,2006.0693368911743,1071.6827874183657,934.0691330432892,0.3099157810211181,0.0
687,,,0.7334386280604771,0.2772864614214216,0.7085788020540237,0.2996693591287985,3554.0,0.7258691433520664,0.3016972034478846,3581.0,1182.4624552726746,2120.393138885498,1182.4624552726746,937.5667326450348,0.3556854724884033,0.0
700,0.49486056,0.26019442,,,,,,,,,,,,,,
740,,,0.7344130107334682,0.2764793464115688,0.7095666991637943,0.2988477029623311,3554.0,0.7268187760707554,0.3008662662969492,3581.0,1293.577653169632,2235.0638773441315,1293.577653169632,941.0757005214692,0.4015035629272461,0.0
799,,,0.7352755410330636,0.2757079601287842,0.7104519665341869,0.2980446630337296,3554.0,0.7276881648588034,0.3000246254101508,3581.0,1404.7196900844574,2349.7844247818,1404.7196900844574,944.6073389053344,0.4475898742675781,0.0
800,0.21502651,0.36494112,,,,,,,,,,,,,,
858,,,0.7360870497567313,0.2749949523380824,0.7112710123056767,0.2973318878156654,3554.0,0.7284695375767942,0.2993059752207833,3581.0,1514.9537110328674,2463.601045846939,1514.9537110328674,948.1434786319732,0.4932620525360107,0.0
