global_step,grad_norm,loss,train/loss,train/ppl,validation/loss,validation/ppl,validation/num_examples,test/loss,test/ppl,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,13.728465,11.057789,,,,,,,,,,,,,,
1,,,11.058281898498535,63467.41467824364,11.057774543762209,63435.22235195929,100000.0,0.0,1.0,0.0,20.501079082489014,352.1357762813568,20.501079082489014,331.6346070766449,0.0,0.0
100,1.5741202,7.0140247,,,,,,,,,,,,,,
200,1.3134936,6.283058,,,,,,,,,,,,,,
300,1.2329909,6.0134244,,,,,,,,,,,,,,
400,1.1649816,5.7514296,,,,,,,,,,,,,,
500,0.7973954,5.3713293,,,,,,,,,,,,,,
600,0.6237653,5.3140063,,,,,,,,,,,,,,
700,0.56846386,4.991449,,,,,,,,,,,,,,
800,0.58900416,4.8644786,,,,,,,,,,,,,,
900,0.52141494,4.8115234,,,,,,,,,,,,,,
1000,0.429563,4.4521685,,,,,,,,,,,,,,
1100,0.43566677,4.451587,,,,,,,,,,,,,,
1200,0.32481182,4.356995,,,,,,,,,,,,,,
1300,0.28467542,4.491377,,,,,,,,,,,,,,
1400,0.2822319,4.295642,,,,,,,,,,,,,,
1500,0.3024179,4.282925,,,,,,,,,,,,,,
1600,0.30249682,4.1972075,,,,,,,,,,,,,,
1700,0.24654625,4.1424694,,,,,,,,,,,,,,
1800,0.2534459,4.1824856,,,,,,,,,,,,,,
1900,0.23334138,4.0201063,,,,,,,,,,,,,,
2000,0.29530203,4.0503073,,,,,,,,,,,,,,
2100,0.24863148,4.054083,,,,,,,,,,,,,,
2200,0.21530211,3.9946148,,,,,,,,,,,,,,
2300,0.22999696,4.0299597,,,,,,,,,,,,,,
2400,0.21739511,4.060089,,,,,,,,,,,,,,
2500,0.22877441,3.90812,,,,,,,,,,,,,,
2600,0.20608923,3.8497777,,,,,,,,,,,,,,
2700,0.21461214,3.8139393,,,,,,,,,,,,,,
2800,0.19227272,3.7576897,,,,,,,,,,,,,,
2900,0.21079642,3.9204206,,,,,,,,,,,,,,
3000,0.1919942,3.7965946,,,,,,,,,,,,,,
3100,0.18597145,3.8004668,,,,,,,,,,,,,,
3200,0.18791603,3.8406537,,,,,,,,,,,,,,
3300,0.18660858,3.792122,,,,,,,,,,,,,,
3400,0.1752386,3.7261338,,,,,,,,,,,,,,
3500,0.18042332,3.8589487,,,,,,,,,,,,,,
3600,0.16930759,3.7490005,,,,,,,,,,,,,,
3700,0.19967562,3.7976801,,,,,,,,,,,,,,
3800,0.16698147,3.728624,,,,,,,,,,,,,,
3900,0.1745246,3.716189,,,,,,,,,,,,,,
4000,0.16646223,3.6487238,,,,,,,,,,,,,,
4100,0.17890972,3.777385,,,,,,,,,,,,,,
4200,0.17432179,3.5588198,,,,,,,,,,,,,,
4300,0.18859617,3.7464895,,,,,,,,,,,,,,
4400,0.16317607,3.815061,,,,,,,,,,,,,,
4500,0.17332388,3.7030396,,,,,,,,,,,,,,
4600,0.18029618,3.7454078,,,,,,,,,,,,,,
4700,0.18192458,3.6420746,,,,,,,,,,,,,,
4800,0.16808143,3.536605,,,,,,,,,,,,,,
4900,0.16305347,3.6114678,,,,,,,,,,,,,,
5000,0.16273363,3.6515334,,,,,,,,,,,,,,
5100,0.16142032,3.6319826,,,,,,,,,,,,,,
5200,0.16240834,3.7836816,,,,,,,,,,,,,,
5300,0.1670118,3.7346005,,,,,,,,,,,,,,
5400,0.16327952,3.6037552,,,,,,,,,,,,,,
5500,0.163263,3.5723934,,,,,,,,,,,,,,
5600,0.15975617,3.637426,,,,,,,,,,,,,,
5700,0.16338734,3.60119,,,,,,,,,,,,,,
5800,0.15927875,3.674152,,,,,,,,,,,,,,
5900,0.16115606,3.6084073,,,,,,,,,,,,,,
6000,0.17896603,3.5413215,,,,,,,,,,,,,,
6100,0.17421126,3.5474997,,,,,,,,,,,,,,
6200,0.17316476,3.663961,,,,,,,,,,,,,,
6300,0.15569521,3.538932,,,,,,,,,,,,,,
6400,0.17554148,3.646145,,,,,,,,,,,,,,
6500,0.16068769,3.627285,,,,,,,,,,,,,,
6600,0.15806527,3.5766797,,,,,,,,,,,,,,
6700,0.16170469,3.5738926,,,,,,,,,,,,,,
6800,0.16088201,3.5188348,,,,,,,,,,,,,,
6900,0.18996945,3.5920498,,,,,,,,,,,,,,
7000,0.15779431,3.5866916,,,,,,,,,,,,,,
7100,0.16212103,3.383348,,,,,,,,,,,,,,
