global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.6528951,6.9165387,,,,,,,,,,,,,,
1,,,0.0005779656,6.913732,0.00091999996,6.91351,50000.0,0.00080000004,6.9142723,10000.0,47.26798915863037,102.10592675209044,47.26798915863037,54.83784818649292,0.0,0.0
100,0.6882839,6.799904,,,,,,,,,,,,,,
200,0.8116019,6.477569,,,,,,,,,,,,,,
300,1.5905244,6.2442446,,,,,,,,,,,,,,
400,1.5991126,5.981347,,,,,,,,,,,,,,
500,2.6170673,5.675544,,,,,,,,,,,,,,
600,3.815984,5.5105276,,,,,,,,,,,,,,
700,3.2124863,5.4277344,,,,,,,,,,,,,,
800,3.8333874,5.297044,,,,,,,,,,,,,,
900,3.5239463,5.1543455,,,,,,,,,,,,,,
1000,4.2045565,5.0217137,,,,,,,,,,,,,,
1100,7.2884526,4.9525104,,,,,,,,,,,,,,
1200,5.108843,4.7487583,,,,,,,,,,,,,,
1300,3.6263037,4.6785803,,,,,,,,,,,,,,
1400,5.2853293,4.5932727,,,,,,,,,,,,,,
1500,5.748024,4.499791,,,,,,,,,,,,,,
1600,6.618143,4.4519615,,,,,,,,,,,,,,
1700,4.4384522,4.2597485,,,,,,,,,,,,,,
1800,5.3626103,4.2896724,,,,,,,,,,,,,,
1900,5.443938,4.0345488,,,,,,,,,,,,,,
2000,4.9065785,4.062965,,,,,,,,,,,,,,
2100,4.642197,3.9162312,,,,,,,,,,,,,,
2200,4.395403,3.898192,,,,,,,,,,,,,,
2300,4.2799873,3.7008667,,,,,,,,,,,,,,
2400,3.279478,3.8186054,,,,,,,,,,,,,,
2500,4.971883,3.5606456,,,,,,,,,,,,,,
2600,5.6238737,3.6013951,,,,,,,,,,,,,,
2700,3.1409516,3.4702237,,,,,,,,,,,,,,
2800,3.837526,3.4974287,,,,,,,,,,,,,,
2900,3.8878706,3.48837,,,,,,,,,,,,,,
3000,4.660018,3.340383,,,,,,,,,,,,,,
3100,4.549739,3.2696474,,,,,,,,,,,,,,
