global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,33.179474,32.989548,,,,,,,,,,,,,,
1,,,7.9014397,0.9440268204818524,7.7533803,0.896866702071163,5348.0,7.74551,0.8997014197794162,2472.0,196.95326209068293,424.897492647171,196.95326209068293,227.9441404342652,0.0,0.0
100,0.6100222,5.8622656,,,,,,,,,,,,,,
200,3.96174,5.7990413,,,,,,,,,,,,,,
300,3.3424094,5.81831,,,,,,,,,,,,,,
400,6.198389,5.8113184,,,,,,,,,,,,,,
439,,,1.5166935,0.944635537887994,1.5483526,0.8967218654950997,5348.0,1.5424807,0.899579550301627,2472.0,1947.0643391609192,2301.610549926758,1947.0643391609192,354.4669382572174,0.0699548721313476,0.0
500,2.089665,5.7864165,,,,,,,,,,,,,,
600,3.3541648,5.7589235,,,,,,,,,,,,,,
700,4.452627,5.6516294,,,,,,,,,,,,,,
800,2.0113392,5.4863615,,,,,,,,,,,,,,
889,,,1.4767932,0.9427216791412514,1.5070449,0.8967218654950997,5348.0,1.4962969,0.899579550301627,2472.0,3695.554431200028,4173.912148714066,3695.554431200028,478.20188188552856,0.1357693672180175,0.0
900,4.1936436,5.3213983,,,,,,,,,,,,,,
1000,2.3011925,4.570555,,,,,,,,,,,,,,
1100,0.8987934,3.9558184,,,,,,,,,,,,,,
1200,1.1121614,3.580537,,,,,,,,,,,,,,
1300,0.7712141,3.3377106,,,,,,,,,,,,,,
1400,0.8689009,3.2231228,,,,,,,,,,,,,,
1500,1.7795324,3.085817,,,,,,,,,,,,,,
1527,,,0.66586787,0.6555234013842107,0.73295695,0.6376671655482065,5348.0,0.67853576,0.6306136128206691,2472.0,5448.104292869568,6037.8759977817535,5448.104292869568,589.5442388057709,0.1982958316802978,0.0
1600,0.7060872,2.9436352,,,,,,,,,,,,,,
1700,0.9625898,2.8544216,,,,,,,,,,,,,,
1800,1.048622,2.7267046,,,,,,,,,,,,,,
1900,0.68778646,2.6650167,,,,,,,,,,,,,,
2000,1.79677,2.6529496,,,,,,,,,,,,,,
2035,,,0.426745,0.5023196389112882,0.49475142,0.5228793511321392,5348.0,0.43009406,0.4889606564702537,2472.0,7206.683331251144,7915.620689153671,7206.683331251144,708.6395835876465,0.2610743045806885,0.0
2100,0.81435025,2.5746882,,,,,,,,,,,,,,
2200,0.76067895,2.4405847,,,,,,,,,,,,,,
2300,1.25198,2.3941517,,,,,,,,,,,,,,
2400,0.70178896,2.3168075,,,,,,,,,,,,,,
2500,0.6558507,2.3146682,,,,,,,,,,,,,,
2600,0.98538905,2.2495482,,,,,,,,,,,,,,
2700,0.6490881,2.1576564,,,,,,,,,,,,,,
2793,,,0.25752237,0.3312585618300028,0.33265686,0.3828416936223627,5348.0,0.26277635,0.3289460321329189,2472.0,8962.10815191269,9788.590219020844,8962.10815191269,826.1121017932892,0.3236737251281738,0.0
2800,0.82955444,2.220769,,,,,,,,,,,,,,
2900,0.88400227,2.1925063,,,,,,,,,,,,,,
3000,0.8896324,2.1625621,,,,,,,,,,,,,,
3100,0.70471174,2.1364079,,,,,,,,,,,,,,
3200,0.7970773,2.0849457,,,,,,,,,,,,,,
3300,1.3051131,2.1013372,,,,,,,,,,,,,,
3400,0.7708243,2.0105643,,,,,,,,,,,,,,
3500,0.99234235,1.9998385,,,,,,,,,,,,,,
