global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,21.576342,32.848995,,,,,,,,,,,,,,
1,,,7.6999955,4.455349520021656,7.41381,4.032684787331627,5348.0,7.403621,4.305181483964008,2472.0,102.37653636932372,406.9516236782074,102.37653636932372,304.57498955726624,0.0,0.0
100,1.2314619,5.9904413,,,,,,,,,,,,,,
200,1.5458966,5.8152795,,,,,,,,,,,,,,
300,1.4468735,5.6140094,,,,,,,,,,,,,,
400,2.9312112,5.2542014,,,,,,,,,,,,,,
500,1.2690084,4.449168,,,,,,,,,,,,,,
600,1.9766066,3.9741828,,,,,,,,,,,,,,
700,2.1008484,3.6886735,,,,,,,,,,,,,,
789,,,1.3150111,0.9415254062738152,1.284577,0.8925891951914257,5348.0,1.2196025,0.8887128551987488,2472.0,1549.4199659824371,1970.0759365558624,1549.4199659824371,420.5781497955322,0.0661942958831787,0.0
800,2.418132,3.4854972,,,,,,,,,,,,,,
900,1.9464746,3.3384824,,,,,,,,,,,,,,
1000,1.9535801,3.071609,,,,,,,,,,,,,,
1100,2.632258,3.1486325,,,,,,,,,,,,,,
1200,3.121336,2.986529,,,,,,,,,,,,,,
1300,2.9462516,2.8625102,,,,,,,,,,,,,,
1400,2.1163545,2.7147014,,,,,,,,,,,,,,
1500,2.1762059,2.6954358,,,,,,,,,,,,,,
1600,2.8301435,2.712369,,,,,,,,,,,,,,
1606,,,0.7145784,0.645894041499081,0.7789574,0.6576063341862598,5348.0,0.6824632,0.6190969471695814,2472.0,2997.733995437622,3535.739326238632,2997.733995437622,537.8570268154144,0.1261601448059082,0.0
1700,2.7370725,2.6035388,,,,,,,,,,,,,,
1800,3.8678916,2.4514644,,,,,,,,,,,,,,
1900,3.9368873,2.5680692,,,,,,,,,,,,,,
2000,2.7917764,2.430844,,,,,,,,,,,,,,
2100,3.0236483,2.3395422,,,,,,,,,,,,,,
2200,3.7658648,2.40886,,,,,,,,,,,,,,
2300,2.9474435,2.2923608,,,,,,,,,,,,,,
2400,3.9452858,2.2847552,,,,,,,,,,,,,,
2500,4.2644944,2.4030497,,,,,,,,,,,,,,
2600,3.9823284,2.3215709,,,,,,,,,,,,,,
2700,2.8504574,2.301783,,,,,,,,,,,,,,
2753,,,0.2549867,0.305327577209545,0.35871878,0.3716313426350601,5348.0,0.26378787,0.3031300144212215,2472.0,4445.087796926498,5098.39088511467,4445.087796926498,653.0834727287292,0.184758186340332,0.0
2800,2.083723,2.1086595,,,,,,,,,,,,,,
2900,3.687458,2.185526,,,,,,,,,,,,,,
3000,4.1560144,2.1420498,,,,,,,,,,,,,,
3100,3.284212,2.248573,,,,,,,,,,,,,,
3200,3.0698457,2.2087317,,,,,,,,,,,,,,
3300,2.425749,2.1496327,,,,,,,,,,,,,,
3400,3.3481205,2.1112761,,,,,,,,,,,,,,
3500,2.6590607,2.0954547,,,,,,,,,,,,,,
3600,3.2401052,1.9718606,,,,,,,,,,,,,,
3700,3.0012834,2.0806794,,,,,,,,,,,,,,
3755,,,0.17715189,0.2216747478767188,0.26296136,0.2929561145174528,5348.0,0.1827379,0.2243617086100786,2472.0,5895.801869392395,6667.339935541153,5895.801869392395,771.2495627403259,0.2427828311920166,0.0
3800,2.908514,1.9567788,,,,,,,,,,,,,,
3900,3.7769597,2.0798101,,,,,,,,,,,,,,
4000,3.1020188,2.0694692,,,,,,,,,,,,,,
4100,3.3676422,2.0004117,,,,,,,,,,,,,,
4200,8.810521,1.9395492,,,,,,,,,,,,,,
4300,2.6199195,2.0597305,,,,,,,,,,,,,,
4400,4.8461547,1.9558432,,,,,,,,,,,,,,
4500,6.3545938,2.0781438,,,,,,,,,,,,,,
4600,5.6074147,1.9508605,,,,,,,,,,,,,,
4700,6.0877953,2.0283256,,,,,,,,,,,,,,
4800,4.2426925,1.9323566,,,,,,,,,,,,,,
4900,2.5436277,1.9205012,,,,,,,,,,,,,,
5000,2.6999052,1.7964587,,,,,,,,,,,,,,
5100,9.334895,1.9161963,,,,,,,,,,,,,,
5113,,,0.14214092,0.1834351692796103,0.22565387,0.2542557813933279,5348.0,0.14879258,0.1863790546990839,2472.0,7343.242719173431,8229.7517619133,7343.242719173431,886.1462149620056,0.3031110763549804,0.0
5200,6.6774273,1.8844385,,,,,,,,,,,,,,
5300,2.843889,1.9725167,,,,,,,,,,,,,,
5400,6.043965,1.8950139,,,,,,,,,,,,,,
5500,4.730964,1.9580535,,,,,,,,,,,,,,
5600,4.571946,1.8943183,,,,,,,,,,,,,,
5700,4.0111585,1.8123313,,,,,,,,,,,,,,
5800,3.4679554,1.7878691,,,,,,,,,,,,,,
5900,3.8605971,1.8555869,,,,,,,,,,,,,,
6000,5.710244,1.7798976,,,,,,,,,,,,,,
6070,,,0.13198702,0.168678748046156,0.20851512,0.2367595230048761,5348.0,0.13387208,0.167143988788008,2472.0,8794.35047364235,9796.816777229307,8794.35047364235,1002.0303444862366,0.3650805950164795,0.0
6100,3.8633797,1.9243028,,,,,,,,,,,,,,
6200,4.8140297,1.8968158,,,,,,,,,,,,,,
6300,3.122205,1.8264344,,,,,,,,,,,,,,
6400,4.4309216,1.844556,,,,,,,,,,,,,,
6500,4.049622,1.8077463,,,,,,,,,,,,,,
6600,3.814388,1.7527921,,,,,,,,,,,,,,
6700,2.7138712,1.7403774,,,,,,,,,,,,,,
6800,3.717908,1.7647437,,,,,,,,,,,,,,
6900,7.4266105,1.8479705,,,,,,,,,,,,,,
7000,5.3117313,1.7678128,,,,,,,,,,,,,,
7100,3.827919,1.7667438,,,,,,,,,,,,,,
7200,3.2831929,1.6813307,,,,,,,,,,,,,,
7300,4.6246085,1.7295319,,,,,,,,,,,,,,
7400,4.350882,1.736067,,,,,,,,,,,,,,
7500,6.8550167,1.7440181,,,,,,,,,,,,,,
7511,,,0.111240245,0.1447791036521813,0.19040592,0.2178052430840535,5348.0,0.118898645,0.1496963418845083,2472.0,10241.480082273483,11360.719284772871,10241.480082273483,1118.7248978614807,0.428715705871582,0.0
7600,3.8784442,1.7366544,,,,,,,,,,,,,,
7700,5.014257,1.6509634,,,,,,,,,,,,,,
7800,5.627992,1.7461922,,,,,,,,,,,,,,
7900,3.8914287,1.7094483,,,,,,,,,,,,,,
8000,7.272556,1.6585451,,,,,,,,,,,,,,
8100,2.690538,1.6820722,,,,,,,,,,,,,,
8200,8.773318,1.7578294,,,,,,,,,,,,,,
8300,5.307434,1.6560982,,,,,,,,,,,,,,
8400,4.0678186,1.6231836,,,,,,,,,,,,,,
8500,3.0457036,1.6814917,,,,,,,,,,,,,,
8600,,,0.094026506,0.1275956213110065,0.18048789,0.2073963211509679,5348.0,0.11116003,0.1411654784392582,2472.0,11688.681015491486,12924.77863073349,11688.681015491486,1235.5102951526642,0.4895627498626709,0.0
8600,8.68762,1.642294,,,,,,,,,,,,,,
8700,7.006332,1.6694233,,,,,,,,,,,,,,
8800,3.5836973,1.7262892,,,,,,,,,,,,,,
8900,9.046567,1.6380149,,,,,,,,,,,,,,
9000,5.693964,1.6883239,,,,,,,,,,,,,,
9100,2.9025607,1.6798769,,,,,,,,,,,,,,
9200,4.396739,1.6532108,,,,,,,,,,,,,,
9300,7.760719,1.7191533,,,,,,,,,,,,,,
9400,8.064958,1.7141825,,,,,,,,,,,,,,
9500,5.3372235,1.6496676,,,,,,,,,,,,,,
9600,5.527241,1.6899815,,,,,,,,,,,,,,
9700,5.4168944,1.6451026,,,,,,,,,,,,,,
9800,3.1076627,1.703558,,,,,,,,,,,,,,
9900,3.9759436,1.6742145,,,,,,,,,,,,,,
9919,,,0.08521794,0.114151801626864,0.17130099,0.1975570897503983,5348.0,0.103471436,0.132187760242114,2472.0,13139.026470422745,14491.60913348198,13139.026470422745,1351.9184200763702,0.553030252456665,0.0
10000,4.6906514,1.5960275,,,,,,,,,,,,,,
10100,3.4831088,1.5681537,,,,,,,,,,,,,,
10200,4.3572063,1.7465415,,,,,,,,,,,,,,
10300,5.5337534,1.6703413,,,,,,,,,,,,,,
10400,2.8248703,1.5613093,,,,,,,,,,,,,,
10500,2.7099407,1.6042122,,,,,,,,,,,,,,
10600,3.8482273,1.5730163,,,,,,,,,,,,,,
10700,3.0502856,1.54371,,,,,,,,,,,,,,
10800,4.355227,1.5892408,,,,,,,,,,,,,,
10900,4.3745675,1.6143584,,,,,,,,,,,,,,
11000,5.6916327,1.6411169,,,,,,,,,,,,,,
11100,2.5031195,1.6481996,,,,,,,,,,,,,,
11200,3.3361483,1.6227144,,,,,,,,,,,,,,
11300,6.276201,1.5699552,,,,,,,,,,,,,,
11349,,,0.08238142,0.1139236433256286,0.16386434,0.1885482547192584,5348.0,0.09668598,0.1253630694859139,2472.0,14587.242712020874,16055.506237268448,14587.242712020874,1467.522861480713,0.6142921447753906,0.0
11400,3.5841432,1.5387642,,,,,,,,,,,,,,
11500,3.0091305,1.6248507,,,,,,,,,,,,,,
11600,3.0063517,1.5553701,,,,,,,,,,,,,,
11700,3.8418345,1.5978469,,,,,,,,,,,,,,
11800,4.863498,1.5402776,,,,,,,,,,,,,,
11900,7.2632074,1.6927065,,,,,,,,,,,,,,
12000,5.2744646,1.540791,,,,,,,,,,,,,,
12100,5.26315,1.4684573,,,,,,,,,,,,,,
12200,3.3135538,1.5335455,,,,,,,,,,,,,,
12300,7.3004885,1.6049346,,,,,,,,,,,,,,
12367,,,0.082257524,0.1088183188344483,0.15875116,0.1821561338289963,5348.0,0.092839345,0.1207117177502894,2472.0,16035.323910951614,17619.867257595062,16035.323910951614,1583.7280912399292,0.6775681972503662,0.0
12400,5.5499926,1.7447032,,,,,,,,,,,,,,
12500,3.1191654,1.4910444,,,,,,,,,,,,,,
12600,3.2471056,1.5873944,,,,,,,,,,,,,,
12700,4.663015,1.5043947,,,,,,,,,,,,,,
12800,2.9260294,1.5367149,,,,,,,,,,,,,,
12900,2.8814414,1.5492909,,,,,,,,,,,,,,
13000,4.4298697,1.5376481,,,,,,,,,,,,,,
13100,2.586871,1.5743355,,,,,,,,,,,,,,
13200,3.131137,1.573969,,,,,,,,,,,,,,
13300,3.8155975,1.551192,,,,,,,,,,,,,,
13400,4.7157063,1.5184468,,,,,,,,,,,,,,
13500,2.8556666,1.4912229,,,,,,,,,,,,,,
13600,3.1204183,1.557653,,,,,,,,,,,,,,
13700,3.1280854,1.4822855,,,,,,,,,,,,,,
13800,4.0725913,1.6837533,,,,,,,,,,,,,,
13802,,,0.07996663,0.1065133088875405,0.15306897,0.1759571283734852,5348.0,0.088474095,0.1149635407145613,2472.0,17485.8744263649,19187.04582810402,17485.8744263649,1700.277869462967,0.7411148548126221,0.0
13900,3.9761348,1.4752104,,,,,,,,,,,,,,
14000,2.926647,1.4888244,,,,,,,,,,,,,,
14100,4.169385,1.5235337,,,,,,,,,,,,,,
14200,6.4304376,1.5199721,,,,,,,,,,,,,,
14300,5.74554,1.5278873,,,,,,,,,,,,,,
14400,8.367199,1.608701,,,,,,,,,,,,,,
14500,3.6028984,1.4783193,,,,,,,,,,,,,,
14600,4.041297,1.4915698,,,,,,,,,,,,,,
14700,6.506333,1.5145185,,,,,,,,,,,,,,
14800,3.707936,1.4675403,,,,,,,,,,,,,,
14900,3.6651034,1.5395086,,,,,,,,,,,,,,
15000,2.6111746,1.5765123,,,,,,,,,,,,,,
15021,,,0.07385551,0.1005144562197757,0.1490672,0.171698933037223,5348.0,0.085394755,0.1105559279345154,2472.0,18933.06236433983,20751.581595659256,18933.06236433983,1817.5505964756007,0.803013801574707,0.0
15100,4.0624986,1.593588,,,,,,,,,,,,,,
15200,3.7255037,1.5325209,,,,,,,,,,,,,,
15300,4.818802,1.5740145,,,,,,,,,,,,,,
15400,3.406514,1.4992785,,,,,,,,,,,,,,
15500,2.531455,1.5639957,,,,,,,,,,,,,,
15600,3.0484927,1.5204207,,,,,,,,,,,,,,
15700,5.048145,1.5440515,,,,,,,,,,,,,,
15800,3.5328655,1.4978942,,,,,,,,,,,,,,
15900,3.0478945,1.504735,,,,,,,,,,,,,,
16000,3.4520712,1.5327259,,,,,,,,,,,,,,
16100,2.9171743,1.5399299,,,,,,,,,,,,,,
16166,,,0.068916745,0.0937671551032473,0.14585422,0.168609086081205,5348.0,0.083070174,0.1075904373083094,2472.0,20383.468438863754,22321.28867387772,20383.468438863754,1936.7516932487488,0.8903868198394775,0.0
16200,8.642345,1.5365839,,,,,,,,,,,,,,
16300,2.66245,1.4218394,,,,,,,,,,,,,,
16400,2.6945126,1.5724642,,,,,,,,,,,,,,
16500,2.94277,1.4746495,,,,,,,,,,,,,,
16600,14.996362,1.5553352,,,,,,,,,,,,,,
16700,2.7741268,1.4954362,,,,,,,,,,,,,,
16800,3.5044122,1.504773,,,,,,,,,,,,,,
16900,4.1122217,1.4861554,,,,,,,,,,,,,,
17000,4.1765413,1.5097249,,,,,,,,,,,,,,
17100,2.5611227,1.3746179,,,,,,,,,,,,,,
17200,3.8224242,1.4972795,,,,,,,,,,,,,,
17300,3.7118044,1.4666967,,,,,,,,,,,,,,
17400,2.1727076,1.5019071,,,,,,,,,,,,,,
17500,3.4573953,1.4657427,,,,,,,,,,,,,,
17533,,,0.06279009,0.0874618534651399,0.1425385,0.1648529908752957,5348.0,0.080750495,0.1061483151544695,2472.0,21832.489223003387,23887.762570858,21832.489223003387,2053.6833872795105,1.3198487758636477,0.0
17600,3.6255198,1.5208414,,,,,,,,,,,,,,
17700,3.1056106,1.5147458,,,,,,,,,,,,,,
17800,3.4151623,1.4563491,,,,,,,,,,,,,,
17900,4.540662,1.4903123,,,,,,,,,,,,,,
18000,3.2765198,1.4735092,,,,,,,,,,,,,,
18100,3.2319088,1.4816245,,,,,,,,,,,,,,
18200,4.5581465,1.5344452,,,,,,,,,,,,,,
18300,2.6765509,1.5319756,,,,,,,,,,,,,,
18400,8.929226,1.600796,,,,,,,,,,,,,,
18500,3.3382392,1.5724139,,,,,,,,,,,,,,
18512,,,0.06221547,0.0843808491270417,0.14033315,0.1625452614300198,5348.0,0.079295315,0.1038327950764731,2472.0,23279.64937400818,25453.589698076248,23279.64937400818,2172.2755455970764,1.383471965789795,0.0
