global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,3.628136,0.39448225,,,,,,,,,,,
1,,,0.3943337978994321,0.3923960276839753,83274637.0,0.3949011562911184,95000000.0,11.743894577026367,1122.5190334320068,11.743894577026367,1110.7750465869904,0.0,0.0
100,0.011701908,0.12538187,,,,,,,,,,,
200,0.021455865,0.12929283,,,,,,,,,,,
222,,,0.1257833187357059,0.1280422284954879,83274637.0,0.1305241282894736,95000000.0,369.3973135948181,2630.070653438568,369.3973135948181,2260.6320898532867,0.0392022132873535,0.0
300,0.012716773,0.12076484,,,,,,,,,,,
400,0.025574755,0.13640507,,,,,,,,,,,
448,,,0.1253765556352131,0.1272580373566916,83274637.0,0.129892608305921,95000000.0,725.4280745983124,4057.525268793106,725.4280745983124,3332.009311199188,0.0838687419891357,0.0
500,0.035471622,0.12915261,,,,,,,,,,,
600,0.036719583,0.12665202,,,,,,,,,,,
650,,,0.1245561644856659,0.1264860998879039,83274637.0,0.1289799728721217,95000000.0,1082.3212599754331,5485.249353647232,1082.3212599754331,4402.794808626175,0.1273887157440185,0.0
700,0.045355957,0.12547581,,,,,,,,,,,
800,0.03948799,0.13047443,,,,,,,,,,,
869,,,0.1255238500054714,0.126022168835987,83274637.0,0.1284701635279605,95000000.0,1439.585740327835,6985.825571060181,1439.585740327835,5546.061137676239,0.1708996295928955,0.0
900,0.009264958,0.12023623,,,,,,,,,,,
1000,0.02721225,0.12970579,,,,,,,,,,,
1092,,,0.1282976897515403,0.12579814613996,83274637.0,0.1282853146998355,95000000.0,1795.6652328968048,8386.63669013977,1795.6652328968048,6590.746332168579,0.2154231071472168,0.0
1100,0.031433772,0.119173825,,,,,,,,,,,
1200,0.0070212786,0.12315725,,,,,,,,,,,
1294,,,0.1234910122628481,0.1256010757072183,83274637.0,0.1279383355879934,95000000.0,2152.8045654296875,9663.42095375061,2152.8045654296875,7510.343310832977,0.2616117000579834,0.0
1300,0.005707941,0.12030273,,,,,,,,,,,
1400,0.007574237,0.124627955,,,,,,,,,,,
1500,0.029087972,0.119511046,,,,,,,,,,,
1517,,,0.1226766787516246,0.1254116024947649,83274637.0,0.1277429949629934,95000000.0,2509.3101291656494,10926.958624839785,2509.3101291656494,8417.329877614975,0.3052830696105957,0.0
1600,0.015138758,0.1193491,,,,,,,,,,,
1700,0.013136481,0.1266046,,,,,,,,,,,
1748,,,0.1222151592608142,0.1250263840368796,83274637.0,0.1273579339226973,95000000.0,2866.9262812137604,11903.632772922516,2866.9262812137604,9036.342326164246,0.3488807678222656,0.0
1800,0.009799517,0.11683343,,,,,,,,,,,
1900,0.00549524,0.13266152,,,,,,,,,,,
1953,,,0.1247703184332675,0.1249066381892671,83274637.0,0.1272250039473684,95000000.0,3223.8394560813904,12461.838278770449,3223.8394560813904,9237.588072299955,0.3937795162200928,0.0
2000,0.04175496,0.1246121,,,,,,,,,,,
2100,0.027105298,0.12451176,,,,,,,,,,,
2153,,,0.1241832425548408,0.1247776989404461,83274637.0,0.127088391118421,95000000.0,3581.013558864593,13094.3020465374,3581.013558864593,9512.833103179932,0.4367961883544922,0.0
2200,0.01535973,0.12207491,,,,,,,,,,,
2300,0.014881288,0.121068634,,,,,,,,,,,
2337,,,0.1236057495522611,0.1247029280055582,83274637.0,0.1270030040398848,95000000.0,3938.826319456101,13827.923115253448,3938.826319456101,9888.599280118942,0.4774184226989746,0.0
2400,0.010362829,0.12613305,,,,,,,,,,,
2500,0.010961726,0.119258225,,,,,,,,,,,
2523,,,0.1243856055252019,0.124669134251553,83274637.0,0.1269809141550164,95000000.0,4296.176826000214,14442.996330976486,4296.176826000214,10146.27878499031,0.5190646648406982,0.0
2600,0.0047398806,0.11764594,,,,,,,,,,,
2699,,,0.1232389836870836,0.1246455917395559,83274637.0,0.1269510118421052,95000000.0,4654.34729552269,15108.118377923964,4654.34729552269,10453.187111377716,0.5608541965484619,0.0
2700,0.0251009,0.12283443,,,,,,,,,,,
2800,0.034451943,0.1254376,,,,,,,,,,,
2900,0.012263142,0.12559101,,,,,,,,,,,
2921,,,0.123614698121289,0.124589901840213,83274637.0,0.1268990600431743,95000000.0,5012.298564434052,15684.791806936264,5012.298564434052,10671.86381173134,0.6045355796813965,0.0
3000,0.004692037,0.12355781,,,,,,,,,,,
3100,0.020020913,0.13170029,,,,,,,,,,,
3111,,,0.1216125939533395,0.1245261844565853,83274637.0,0.126830276223273,95000000.0,5370.388826608658,16345.714805364609,5370.388826608658,10974.652725696564,0.6468122005462646,0.0
3200,0.034509037,0.12012564,,,,,,,,,,,
3300,0.018001424,0.12576716,,,,,,,,,,,
3313,,,0.1237124907403434,0.1244596567067405,83274637.0,0.1267570463199013,95000000.0,5726.584424495697,16977.2155520916,5726.584424495697,11249.902762889862,0.7002856731414795,0.0
3400,0.03383374,0.12408243,,,,,,,,,,,
3500,0.03214845,0.13547894,,,,,,,,,,,
3513,,,0.1246016948665462,0.1243826613574168,83274637.0,0.1266838561369243,95000000.0,6082.775223970413,17595.955839395523,6082.775223970413,11512.407347679138,0.7435591220855713,0.0
3600,0.024441116,0.123729125,,,,,,,,,,,
3700,0.015316545,0.121507145,,,,,,,,,,,
3714,,,0.1231764091307637,0.1242987465562106,83274637.0,0.1266195595394736,95000000.0,6439.125399589539,18111.82472896576,6439.125399589539,11671.88119006157,0.7867374420166016,0.0
3800,0.056905262,0.12277013,,,,,,,,,,,
3900,0.011964234,0.119423926,,,,,,,,,,,
3932,,,0.1228435390611302,0.1242385061020477,83274637.0,0.1265772742598684,95000000.0,6796.702002048492,18723.724828481674,6796.702002048492,11926.152915239334,0.8367385864257812,0.0
4000,0.009268998,0.12738585,,,,,,,,,,,
4100,0.0079774875,0.11813054,,,,,,,,,,,
4126,,,0.1220623992219473,0.1242061377836972,83274637.0,0.1265366392989309,95000000.0,7153.332077503204,19493.40983247757,7153.332077503204,12339.154388189316,0.8886075019836426,0.0
4200,0.0068667484,0.12164163,,,,,,,,,,,
4300,0.014501485,0.11874977,,,,,,,,,,,
4302,,,0.1215605935398137,0.12417686651005,83274637.0,0.1265026482730263,95000000.0,7509.662850618362,20140.050467967987,7509.662850618362,12629.418277025225,0.9331283569335938,0.0
4400,0.044283427,0.12297912,,,,,,,,,,,
4500,0.013083199,0.12504059,,,,,,,,,,,
4505,,,0.1232790819621123,0.1241500230851445,83274637.0,0.1264815768606085,95000000.0,7866.976818323135,20853.138808965683,7866.976818323135,12985.144350290298,0.9797408580780028,0.0
4600,0.007307879,0.12266947,,,,,,,,,,,
4696,,,0.1225790217659383,0.1241378030071561,83274637.0,0.126462673488898,95000000.0,8222.943799734116,21441.37175297737,8222.943799734116,13217.359897375109,1.0285730361938477,0.0
4700,0.043465644,0.12364264,,,,,,,,,,,
4800,0.025220796,0.1272565,,,,,,,,,,,
4888,,,0.1240269770412325,0.1241434532095663,83274637.0,0.1264619189041941,95000000.0,8579.77488565445,22077.668011665344,8579.77488565445,13496.78075838089,1.071321725845337,0.0
4900,0.010367601,0.12748985,,,,,,,,,,,
5000,0.01784833,0.122187726,,,,,,,,,,,
5077,,,0.1220976948480373,0.1241468097671372,83274637.0,0.1264692577199835,95000000.0,8936.798641443253,22748.193354845047,8936.798641443253,13810.234635829926,1.1174798011779783,0.0
5100,0.0057110377,0.12792829,,,,,,,,,,,
5200,0.009480659,0.122350544,,,,,,,,,,,
5292,,,0.1218276046474212,0.124126899796164,83274637.0,0.1264421416632401,95000000.0,9292.98892235756,23400.44773197174,9292.98892235756,14106.23760342598,1.1769139766693115,0.0
5300,0.0057163863,0.11837993,,,,,,,,,,,
5400,0.023186076,0.12915063,,,,,,,,,,,
5470,,,0.1231572271189974,0.1240822782475679,83274637.0,0.1263921827405427,95000000.0,9650.665175676346,24025.270493030548,9650.665175676346,14373.338783979416,1.2207696437835691,0.0
5500,0.006263496,0.1342836,,,,,,,,,,,
5600,0.03103614,0.12946524,,,,,,,,,,,
