global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.35644013,6.907756,,,,,,,,,,,,,,
1,,,0.00091796875,6.907755,0.0009999999,6.907755,50000.0,0.001,6.907755,10000.0,67.60156393051147,166.650452375412,67.60156393051147,99.04877591133118,0.0,0.0
100,0.53437793,6.863615,,,,,,,,,,,,,,
200,0.72203696,6.781219,,,,,,,,,,,,,,
300,0.9425812,6.6504755,,,,,,,,,,,,,,
400,0.87580484,6.5506296,,,,,,,,,,,,,,
500,0.97333896,6.606344,,,,,,,,,,,,,,
600,1.0081211,6.339244,,,,,,,,,,,,,,
700,3.1328392,6.3537745,,,,,,,,,,,,,,
800,1.0942065,6.586478,,,,,,,,,,,,,,
900,1.1735913,6.076352,,,,,,,,,,,,,,
1000,1.2068107,6.283184,,,,,,,,,,,,,,
1100,1.2159777,6.0144305,,,,,,,,,,,,,,
1200,1.078321,5.9717855,,,,,,,,,,,,,,
1300,1.3086468,6.0178227,,,,,,,,,,,,,,
1400,0.8862645,6.4384513,,,,,,,,,,,,,,
1500,1.1481624,5.826369,,,,,,,,,,,,,,
1600,1.130034,6.201018,,,,,,,,,,,,,,
1700,1.0097399,5.7079473,,,,,,,,,,,,,,
1800,1.1648273,5.7988896,,,,,,,,,,,,,,
1900,1.0877743,6.3070955,,,,,,,,,,,,,,
2000,0.8577492,6.292426,,,,,,,,,,,,,,
2100,1.2480758,5.6738443,,,,,,,,,,,,,,
2200,1.0791247,5.531637,,,,,,,,,,,,,,
2300,1.2576451,5.533951,,,,,,,,,,,,,,
2400,1.0338249,5.387842,,,,,,,,,,,,,,
2500,1.1050973,5.5281496,,,,,,,,,,,,,,
2600,0.93228656,6.135438,,,,,,,,,,,,,,
2700,1.0752058,5.4183993,,,,,,,,,,,,,,
2800,0.97251266,6.4698963,,,,,,,,,,,,,,
2900,1.0548471,5.139744,,,,,,,,,,,,,,
3000,0.95511144,5.1727705,,,,,,,,,,,,,,
3100,1.0108285,5.5679283,,,,,,,,,,,,,,
3200,1.011154,5.3914742,,,,,,,,,,,,,,
3300,0.9446513,6.0306616,,,,,,,,,,,,,,
3400,0.94738173,5.97948,,,,,,,,,,,,,,
3500,1.103296,5.0793915,,,,,,,,,,,,,,
3600,1.2946743,4.9142427,,,,,,,,,,,,,,
3700,1.4448311,4.8703537,,,,,,,,,,,,,,
3800,1.00695,4.7396555,,,,,,,,,,,,,,
3900,0.9816082,5.001896,,,,,,,,,,,,,,
4000,1.4141005,4.822384,,,,,,,,,,,,,,
4100,1.0725938,4.715375,,,,,,,,,,,,,,
4200,1.1779145,4.7548842,,,,,,,,,,,,,,
4300,1.5217249,5.222967,,,,,,,,,,,,,,
4400,1.5418139,4.760908,,,,,,,,,,,,,,
4401,,,0.2501367,3.768545,0.2307,3.8888805,50000.0,0.17400001,4.3230166,10000.0,2639.2176098823547,2779.2369446754456,2639.2176098823547,139.8188512325287,0.1362159252166748,0.0
4500,1.0202388,4.57362,,,,,,,,,,,,,,
4600,1.0010502,4.4793324,,,,,,,,,,,,,,
4700,1.363594,4.50891,,,,,,,,,,,,,,
4800,1.0734953,4.424871,,,,,,,,,,,,,,
4900,1.3599939,4.438628,,,,,,,,,,,,,,
5000,0.9976743,4.341788,,,,,,,,,,,,,,
5100,0.95564556,4.401372,,,,,,,,,,,,,,
5200,0.96799976,4.8125196,,,,,,,,,,,,,,
5300,1.0548874,4.3793497,,,,,,,,,,,,,,
5400,1.0232793,5.18522,,,,,,,,,,,,,,
5500,1.3305959,4.388589,,,,,,,,,,,,,,
5600,0.7660651,5.798813,,,,,,,,,,,,,,
5700,1.182062,4.364893,,,,,,,,,,,,,,
5800,0.7809541,5.8403473,,,,,,,,,,,,,,
5900,1.0945503,4.1596937,,,,,,,,,,,,,,
6000,1.5891454,4.190004,,,,,,,,,,,,,,
6100,1.2221392,4.2020574,,,,,,,,,,,,,,
6200,0.7903031,5.88769,,,,,,,,,,,,,,
6300,1.7132035,4.195158,,,,,,,,,,,,,,
6400,1.2032536,3.9318917,,,,,,,,,,,,,,
6500,1.122177,4.0951967,,,,,,,,,,,,,,
6600,1.182476,3.9324877,,,,,,,,,,,,,,
6700,0.9261137,5.2412987,,,,,,,,,,,,,,
6800,1.1254392,3.9601016,,,,,,,,,,,,,,
6900,1.1146827,3.9677548,,,,,,,,,,,,,,
7000,1.1830163,3.8199496,,,,,,,,,,,,,,
7100,1.0749677,3.8842506,,,,,,,,,,,,,,
7200,0.9532404,4.741399,,,,,,,,,,,,,,
7300,1.2313628,3.7950819,,,,,,,,,,,,,,
7400,0.72931176,5.5457706,,,,,,,,,,,,,,
7500,1.1769367,3.8261075,,,,,,,,,,,,,,
7600,1.6398252,3.7709148,,,,,,,,,,,,,,
7700,0.8265585,5.9889717,,,,,,,,,,,,,,
