global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,2.306005,0.75186455,,,,,,,,,,,,,,,,,
1,,,0.4814622402191162,0.7488728165626526,0.0245114089049791,0.4852933287620544,0.7460265755653381,0.0275654394828914,43793.0,0.4883911311626434,0.7443493008613586,0.0285573238893925,43793.0,22.18412470817566,282.72767972946167,22.18412470817566,260.5434820652008,0.0,0.0
100,0.17873773,0.16667287,,,,,,,,,,,,,,,,,
200,0.029733626,0.07373322,,,,,,,,,,,,,,,,,
300,0.013476705,0.06095505,,,,,,,,,,,,,,,,,
400,0.014072035,0.04887239,,,,,,,,,,,,,,,,,
500,0.018612161,0.052537274,,,,,,,,,,,,,,,,,
600,0.01546647,0.051435724,,,,,,,,,,,,,,,,,
700,0.013728494,0.050884776,,,,,,,,,,,,,,,,,
800,0.015936157,0.04745314,,,,,,,,,,,,,,,,,
900,0.014055251,0.049954507,,,,,,,,,,,,,,,,,
1000,0.0163846,0.050120093,,,,,,,,,,,,,,,,,
1100,0.015943909,0.048107464,,,,,,,,,,,,,,,,,
1200,0.014126389,0.049974326,,,,,,,,,,,,,,,,,
1300,0.016561583,0.051100634,,,,,,,,,,,,,,,,,
1400,0.01580597,0.05788501,,,,,,,,,,,,,,,,,
1500,0.02523645,0.048837658,,,,,,,,,,,,,,,,,
1600,0.024871157,0.05258889,,,,,,,,,,,,,,,,,
1700,0.02374118,0.04361519,,,,,,,,,,,,,,,,,
1800,0.011468353,0.0463674,,,,,,,,,,,,,,,,,
1900,0.013771363,0.04309149,,,,,,,,,,,,,,,,,
2000,0.031657908,0.046162512,,,,,,,,,,,,,,,,,
2100,0.02866784,0.04911879,,,,,,,,,,,,,,,,,
2148,,,0.9875841736793518,0.0444403029978275,0.1238331691581529,0.984944224357605,0.0537512190639972,0.122451880402328,43793.0,0.983948051929474,0.0568593330681324,0.1236296775740786,43793.0,474.3226864337921,851.7270829677582,474.3226864337921,377.3438639640808,0.0440804958343505,0.0
2200,0.016084528,0.04280605,,,,,,,,,,,,,,,,,
2300,0.014365117,0.045089778,,,,,,,,,,,,,,,,,
2400,0.016024314,0.046964888,,,,,,,,,,,,,,,,,
2500,0.011173469,0.03928822,,,,,,,,,,,,,,,,,
2600,0.014159826,0.04224409,,,,,,,,,,,,,,,,,
2700,0.014841173,0.040491395,,,,,,,,,,,,,,,,,
2800,0.015104075,0.042986546,,,,,,,,,,,,,,,,,
2900,0.011990693,0.042259637,,,,,,,,,,,,,,,,,
3000,0.017332919,0.044494614,,,,,,,,,,,,,,,,,
3100,0.014826196,0.04538242,,,,,,,,,,,,,,,,,
3200,0.015803706,0.042155795,,,,,,,,,,,,,,,,,
3300,0.01864004,0.045284297,,,,,,,,,,,,,,,,,
3400,0.018279003,0.043196756,,,,,,,,,,,,,,,,,
3500,0.013811902,0.04336135,,,,,,,,,,,,,,,,,
3600,0.012252788,0.042912968,,,,,,,,,,,,,,,,,
