global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.783259,10.967508,,,,,,,,,,,,,,,,,
1,,,0.0006143414648249,10.951251983642578,1.8176967967502988e-10,0.0004835649742744,10.959430694580078,1.9456574821528315e-09,3000.0,0.0007088489946909,10.958731651306152,0.0,3003.0,58.44010210037232,980.0562059879304,58.44010210037232,921.6159455776216,0.0,0.0
100,0.49321252,8.1244,,,,,,,,,,,,,,,,,
200,0.49727932,7.2880983,,,,,,,,,,,,,,,,,
300,0.45200142,6.6412816,,,,,,,,,,,,,,,,,
400,0.4228269,6.1017265,,,,,,,,,,,,,,,,,
500,0.42964998,5.7125053,,,,,,,,,,,,,,,,,
600,0.40401956,5.4145017,,,,,,,,,,,,,,,,,
700,0.4049029,5.152256,,,,,,,,,,,,,,,,,
800,0.42093298,4.921679,,,,,,,,,,,,,,,,,
900,0.46891284,4.6949935,,,,,,,,,,,,,,,,,
1000,0.5038423,4.487795,,,,,,,,,,,,,,,,,
1100,0.4579707,4.2895722,,,,,,,,,,,,,,,,,
1200,0.47281468,4.019901,,,,,,,,,,,,,,,,,
1300,0.47706047,3.893254,,,,,,,,,,,,,,,,,
1400,0.5037002,3.7384713,,,,,,,,,,,,,,,,,
1500,0.4662072,3.5889895,,,,,,,,,,,,,,,,,
1600,0.4511327,3.410078,,,,,,,,,,,,,,,,,
1700,0.4527263,3.33664,,,,,,,,,,,,,,,,,
1800,0.4432857,3.229098,,,,,,,,,,,,,,,,,
1900,0.35929692,3.1174498,,,,,,,,,,,,,,,,,
2000,0.35547087,3.0678682,,,,,,,,,,,,,,,,,
2100,0.3658288,2.8796902,,,,,,,,,,,,,,,,,
2200,0.34457242,3.028871,,,,,,,,,,,,,,,,,
2300,0.31113362,2.9256067,,,,,,,,,,,,,,,,,
2400,0.28834495,2.7127688,,,,,,,,,,,,,,,,,
2500,0.26836222,2.8235435,,,,,,,,,,,,,,,,,
2600,0.25609228,2.646919,,,,,,,,,,,,,,,,,
2700,0.2457741,2.6387434,,,,,,,,,,,,,,,,,
2800,0.24525926,2.6500852,,,,,,,,,,,,,,,,,
2900,0.22292161,2.6439424,,,,,,,,,,,,,,,,,
3000,0.22746024,2.5160706,,,,,,,,,,,,,,,,,
