global_step,grad_norm,loss,train/loss,train/ppl,validation/loss,validation/ppl,validation/num_examples,test/loss,test/ppl,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,12.829964,11.003679,,,,,,,,,,,,,,
1,,,11.002148628234863,60002.92729324393,11.002188682556152,60005.33071790546,100000.0,0.0,1.0,0.0,25.405643224716187,359.1086723804474,25.405643224716187,333.7029254436493,0.0,0.0
100,1.3935124,6.979621,,,,,,,,,,,,,,
200,1.1271628,6.171585,,,,,,,,,,,,,,
300,0.9893474,6.0400667,,,,,,,,,,,,,,
400,0.75117314,6.535104,,,,,,,,,,,,,,
500,0.95655465,6.3071094,,,,,,,,,,,,,,
600,0.67924213,6.042243,,,,,,,,,,,,,,
700,0.6646421,5.79494,,,,,,,,,,,,,,
800,0.4347606,5.8563166,,,,,,,,,,,,,,
900,0.40487152,5.549479,,,,,,,,,,,,,,
1000,0.44936123,5.4746275,,,,,,,,,,,,,,
1100,0.39895082,5.4313316,,,,,,,,,,,,,,
1200,0.43069717,5.3392706,,,,,,,,,,,,,,
1300,0.4719162,5.097183,,,,,,,,,,,,,,
1400,0.35088325,5.0542016,,,,,,,,,,,,,,
1500,0.29744953,4.972523,,,,,,,,,,,,,,
1600,0.31798115,4.8212075,,,,,,,,,,,,,,
1700,0.24378276,4.895421,,,,,,,,,,,,,,
1800,0.2647703,4.8023367,,,,,,,,,,,,,,
1900,0.25495553,4.727635,,,,,,,,,,,,,,
2000,0.2662252,4.583601,,,,,,,,,,,,,,
2100,0.26484168,4.5216093,,,,,,,,,,,,,,
2200,0.22213167,4.372897,,,,,,,,,,,,,,
2300,0.21420233,4.610774,,,,,,,,,,,,,,
2400,0.20090531,4.4658403,,,,,,,,,,,,,,
2500,0.21476437,4.3717556,,,,,,,,,,,,,,
2600,0.20375894,4.3506947,,,,,,,,,,,,,,
2700,0.20570661,4.2413034,,,,,,,,,,,,,,
2800,0.23286484,4.262847,,,,,,,,,,,,,,
2900,0.17639224,4.359817,,,,,,,,,,,,,,
3000,0.2214223,4.1555214,,,,,,,,,,,,,,
3100,0.18770896,4.238395,,,,,,,,,,,,,,
3200,0.19052404,4.03811,,,,,,,,,,,,,,
3300,0.19540803,4.097046,,,,,,,,,,,,,,
3400,0.17604207,4.0814514,,,,,,,,,,,,,,
3500,0.16693187,4.020445,,,,,,,,,,,,,,
3600,0.16451657,4.088944,,,,,,,,,,,,,,
3700,0.18441649,3.994175,,,,,,,,,,,,,,
3800,0.1744151,4.0494194,,,,,,,,,,,,,,
3900,0.16714692,4.008144,,,,,,,,,,,,,,
4000,0.18110615,4.0013013,,,,,,,,,,,,,,
4100,0.16894044,3.9973361,,,,,,,,,,,,,,
4200,0.18680671,3.9078145,,,,,,,,,,,,,,
4300,0.15912078,3.8987226,,,,,,,,,,,,,,
4400,0.16442868,3.924992,,,,,,,,,,,,,,
4500,0.17071964,3.947606,,,,,,,,,,,,,,
4600,0.16563705,3.8027956,,,,,,,,,,,,,,
4700,0.16339,3.8025017,,,,,,,,,,,,,,
4800,0.15578294,3.9147818,,,,,,,,,,,,,,
4900,0.15579984,3.8632452,,,,,,,,,,,,,,
5000,0.16106057,3.8938336,,,,,,,,,,,,,,
5100,0.15028425,3.9178257,,,,,,,,,,,,,,
5200,0.16186753,3.8360217,,,,,,,,,,,,,,
5300,0.1480212,3.835969,,,,,,,,,,,,,,
5400,0.15424761,3.8459444,,,,,,,,,,,,,,
5500,0.15275441,3.805902,,,,,,,,,,,,,,
5600,0.15806508,3.7483778,,,,,,,,,,,,,,
5700,0.16279754,3.7607007,,,,,,,,,,,,,,
5800,0.15232256,3.7821329,,,,,,,,,,,,,,
5900,0.15200715,3.7072358,,,,,,,,,,,,,,
6000,0.15593737,3.6252742,,,,,,,,,,,,,,
6100,0.17285666,3.7678075,,,,,,,,,,,,,,
6200,0.15646096,3.799785,,,,,,,,,,,,,,
6300,0.16541925,3.8017352,,,,,,,,,,,,,,
6400,0.17139876,3.730143,,,,,,,,,,,,,,
6500,0.15022227,3.6093082,,,,,,,,,,,,,,
6600,0.15568326,3.771546,,,,,,,,,,,,,,
6700,0.15585722,3.7217233,,,,,,,,,,,,,,
6800,0.15479602,3.6118581,,,,,,,,,,,,,,
6900,0.15938058,3.6492212,,,,,,,,,,,,,,
7000,0.1579584,3.7255595,,,,,,,,,,,,,,
7100,0.1521849,3.6751385,,,,,,,,,,,,,,
7200,0.15860082,3.7946153,,,,,,,,,,,,,,
7300,0.16657555,3.7212796,,,,,,,,,,,,,,
7400,0.1781781,3.7082,,,,,,,,,,,,,,
7500,0.16541284,3.6978858,,,,,,,,,,,,,,
7600,0.15646054,3.739623,,,,,,,,,,,,,,
7700,0.15958042,3.7198403,,,,,,,,,,,,,,
7800,0.17049932,3.65695,,,,,,,,,,,,,,
7900,0.17267042,3.6586876,,,,,,,,,,,,,,
8000,0.17304812,3.6971014,,,,,,,,,,,,,,
8100,0.16525415,3.7388387,,,,,,,,,,,,,,
8200,0.17045686,3.5240688,,,,,,,,,,,,,,
8300,0.17002748,3.7276769,,,,,,,,,,,,,,
8400,0.15152279,3.6916366,,,,,,,,,,,,,,
8500,0.16482429,3.7273393,,,,,,,,,,,,,,
8600,0.16020249,3.5737545,,,,,,,,,,,,,,
8700,0.15436837,3.6940742,,,,,,,,,,,,,,
8800,0.15368736,3.6260855,,,,,,,,,,,,,,
8900,0.1530695,3.5655768,,,,,,,,,,,,,,
9000,0.16881393,3.5413876,,,,,,,,,,,,,,
9100,0.15860957,3.5859494,,,,,,,,,,,,,,
9200,0.17067172,3.621549,,,,,,,,,,,,,,
9300,0.15972778,3.5169327,,,,,,,,,,,,,,
9400,0.17335965,3.60002,,,,,,,,,,,,,,
9500,0.17987092,3.5658426,,,,,,,,,,,,,,
9600,0.17274584,3.5173583,,,,,,,,,,,,,,
9700,0.17951676,3.5677109,,,,,,,,,,,,,,
9800,0.16656278,3.622881,,,,,,,,,,,,,,
9900,0.16771977,3.4957514,,,,,,,,,,,,,,
10000,0.183977,3.557922,,,,,,,,,,,,,,
10100,0.17589203,3.4763513,,,,,,,,,,,,,,
10200,0.16711697,3.5290396,,,,,,,,,,,,,,
10300,0.1694851,3.6776173,,,,,,,,,,,,,,
10400,0.16804783,3.6074986,,,,,,,,,,,,,,
10500,0.16789232,3.6157057,,,,,,,,,,,,,,
10600,0.18009731,3.4436846,,,,,,,,,,,,,,
10700,0.16841836,3.4977129,,,,,,,,,,,,,,
10800,0.17535987,3.5084152,,,,,,,,,,,,,,
10900,0.17594282,3.599142,,,,,,,,,,,,,,
11000,0.17062044,3.511651,,,,,,,,,,,,,,
11100,0.173117,3.611381,,,,,,,,,,,,,,
11200,0.17800425,3.4382312,,,,,,,,,,,,,,
11293,,,3.5013985633850098,33.16179841895657,3.504018068313598,33.2487797876805,100000.0,0.0,1.0,0.0,2596.313731908798,3260.684348583221,2596.313731908798,664.2292051315308,0.0644490718841552,0.0
11300,0.19705147,3.5617454,,,,,,,,,,,,,,
11400,0.1700878,3.4656148,,,,,,,,,,,,,,
11500,0.17283416,3.5414152,,,,,,,,,,,,,,
11600,0.18582705,3.5695615,,,,,,,,,,,,,,
11700,0.18686104,3.47585,,,,,,,,,,,,,,
11800,0.18129122,3.5268092,,,,,,,,,,,,,,
11900,0.19769262,3.516787,,,,,,,,,,,,,,
12000,0.16796413,3.518821,,,,,,,,,,,,,,
12100,0.19978273,3.4580534,,,,,,,,,,,,,,
12200,0.17440279,3.493803,,,,,,,,,,,,,,
12300,0.18154745,3.5255327,,,,,,,,,,,,,,
12400,0.19007173,3.5751977,,,,,,,,,,,,,,
12500,0.18934803,3.5208802,,,,,,,,,,,,,,
12600,0.1803014,3.453085,,,,,,,,,,,,,,
12700,0.18833254,3.4117646,,,,,,,,,,,,,,
12800,0.18554264,3.5222383,,,,,,,,,,,,,,
12900,0.20879146,3.5800257,,,,,,,,,,,,,,
13000,0.20128913,3.5651085,,,,,,,,,,,,,,
13100,0.18646327,3.444794,,,,,,,,,,,,,,
13200,0.19116151,3.6034384,,,,,,,,,,,,,,
13300,0.21327695,3.5368457,,,,,,,,,,,,,,
13400,0.19931069,3.6115832,,,,,,,,,,,,,,
13500,0.19188198,3.450492,,,,,,,,,,,,,,
13600,0.32869464,3.5798712,,,,,,,,,,,,,,
13700,0.19651204,3.3931959,,,,,,,,,,,,,,
13800,0.18773425,3.4675207,,,,,,,,,,,,,,
13900,0.19235413,3.4715543,,,,,,,,,,,,,,
14000,0.20288701,3.428826,,,,,,,,,,,,,,
14100,0.21052115,3.5476542,,,,,,,,,,,,,,
14200,0.18297127,3.4201725,,,,,,,,,,,,,,
14300,0.19502045,3.4759054,,,,,,,,,,,,,,
14400,0.20523147,3.3048024,,,,,,,,,,,,,,
14500,0.2191786,3.5768185,,,,,,,,,,,,,,
14600,0.19620647,3.4236417,,,,,,,,,,,,,,
14700,0.22583218,3.4727187,,,,,,,,,,,,,,
14800,0.19611797,3.321962,,,,,,,,,,,,,,
14900,0.20202148,3.4283109,,,,,,,,,,,,,,
15000,0.21335751,3.452919,,,,,,,,,,,,,,
15100,0.20177865,3.464142,,,,,,,,,,,,,,
15200,0.23209368,3.5561647,,,,,,,,,,,,,,
15300,0.20922941,3.5229278,,,,,,,,,,,,,,
15400,0.20244107,3.374191,,,,,,,,,,,,,,
15500,0.20560049,3.4335546,,,,,,,,,,,,,,
15600,0.2404055,3.5309317,,,,,,,,,,,,,,
15700,0.2074949,3.3890562,,,,,,,,,,,,,,
15800,0.20755915,3.3888688,,,,,,,,,,,,,,
15900,0.20589907,3.3851078,,,,,,,,,,,,,,
16000,0.20181017,3.4497442,,,,,,,,,,,,,,
16100,0.2150846,3.5287735,,,,,,,,,,,,,,
