global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.31780773,6.910696,,,,,,,,,,,,,,
1,,,0.0018734055,6.911738,0.0012599999,6.9117756,50000.0,0.0012,6.9119825,10000.0,60.91907024383545,149.47478890419006,60.91907024383545,88.55480742454529,0.0,0.0
100,0.9209261,6.758374,,,,,,,,,,,,,,
200,1.7862359,6.402631,,,,,,,,,,,,,,
300,1.942415,6.294833,,,,,,,,,,,,,,
400,1.539432,6.1584167,,,,,,,,,,,,,,
500,2.1531675,6.1391377,,,,,,,,,,,,,,
600,2.1498806,6.0290475,,,,,,,,,,,,,,
700,2.6038315,5.998392,,,,,,,,,,,,,,
800,4.8983355,5.9576263,,,,,,,,,,,,,,
900,2.462722,5.8905864,,,,,,,,,,,,,,
1000,3.1774728,5.8767624,,,,,,,,,,,,,,
1100,4.397617,5.93329,,,,,,,,,,,,,,
1200,4.786351,5.821152,,,,,,,,,,,,,,
1300,4.2351785,5.8710985,,,,,,,,,,,,,,
1400,2.582234,5.8124895,,,,,,,,,,,,,,
1500,2.3210042,5.78228,,,,,,,,,,,,,,
1600,5.43467,5.6936483,,,,,,,,,,,,,,
1700,1.7878714,5.612153,,,,,,,,,,,,,,
1800,1.235797,5.6849494,,,,,,,,,,,,,,
1900,2.2307262,5.5674543,,,,,,,,,,,,,,
2000,2.0173752,5.630041,,,,,,,,,,,,,,
2100,4.2794914,5.7359486,,,,,,,,,,,,,,
2200,7.1703753,5.846158,,,,,,,,,,,,,,
2300,1.9347198,5.542311,,,,,,,,,,,,,,
2400,2.9473786,5.549876,,,,,,,,,,,,,,
2500,6.011759,5.644463,,,,,,,,,,,,,,
2600,2.8967824,5.5004735,,,,,,,,,,,,,,
2700,2.2719264,5.529546,,,,,,,,,,,,,,
2800,1.6686444,5.3805647,,,,,,,,,,,,,,
2900,2.6559486,5.4714212,,,,,,,,,,,,,,
3000,3.92812,5.5139985,,,,,,,,,,,,,,
3100,2.7401497,5.505006,,,,,,,,,,,,,,
3200,3.867625,5.419878,,,,,,,,,,,,,,
3300,4.0242023,5.407714,,,,,,,,,,,,,,
3400,3.1994333,5.265113,,,,,,,,,,,,,,
3500,6.51084,5.661544,,,,,,,,,,,,,,
3600,2.9310422,5.2821426,,,,,,,,,,,,,,
3667,,,0.043088328,5.8607073,0.04014,5.9290338,50000.0,0.029900001,6.208869,10000.0,2058.181893348694,2201.5248374938965,2058.181893348694,143.2671549320221,0.0286586284637451,0.0
3700,2.3300736,5.1770096,,,,,,,,,,,,,,
3800,2.788014,5.2114925,,,,,,,,,,,,,,
3900,3.9142654,5.2863197,,,,,,,,,,,,,,
4000,3.0707846,5.237193,,,,,,,,,,,,,,
4100,3.0632024,5.0856533,,,,,,,,,,,,,,
4200,3.0917299,5.246721,,,,,,,,,,,,,,
4300,2.002202,5.0689383,,,,,,,,,,,,,,
4400,2.3945632,5.0297384,,,,,,,,,,,,,,
4500,2.8788521,4.9593215,,,,,,,,,,,,,,
4600,1.9406288,4.962429,,,,,,,,,,,,,,
4700,4.393433,4.9828954,,,,,,,,,,,,,,
4800,4.1910005,5.1559777,,,,,,,,,,,,,,
4900,4.022045,5.1601024,,,,,,,,,,,,,,
5000,2.2287185,5.0807676,,,,,,,,,,,,,,
5100,4.1564727,5.010294,,,,,,,,,,,,,,
5200,4.829965,5.0782924,,,,,,,,,,,,,,
5300,2.2504737,4.9055567,,,,,,,,,,,,,,
5400,2.4023113,4.8197145,,,,,,,,,,,,,,
5500,2.216633,4.9283323,,,,,,,,,,,,,,
5600,2.725046,4.8485556,,,,,,,,,,,,,,
5700,4.1547294,4.864901,,,,,,,,,,,,,,
5800,3.707408,4.9716334,,,,,,,,,,,,,,
5900,3.082153,4.920457,,,,,,,,,,,,,,
6000,1.9742373,4.887185,,,,,,,,,,,,,,
6100,2.9673548,4.932447,,,,,,,,,,,,,,
6200,3.2579281,4.9499717,,,,,,,,,,,,,,
6300,3.8114045,4.8807087,,,,,,,,,,,,,,
6400,2.629998,4.829401,,,,,,,,,,,,,,
6500,4.1177497,4.997491,,,,,,,,,,,,,,
6600,3.3416138,4.761915,,,,,,,,,,,,,,
6700,3.4281611,4.8025103,,,,,,,,,,,,,,
6800,3.113767,4.894754,,,,,,,,,,,,,,
6900,4.401674,4.9963036,,,,,,,,,,,,,,
7000,10.988923,5.095341,,,,,,,,,,,,,,
7100,1.6486014,4.605733,,,,,,,,,,,,,,
7200,4.0707674,4.662487,,,,,,,,,,,,,,
7300,2.3914864,4.6851935,,,,,,,,,,,,,,
7400,3.8280432,4.7892203,,,,,,,,,,,,,,
7500,2.748373,4.697662,,,,,,,,,,,,,,
7600,3.6261303,4.7047415,,,,,,,,,,,,,,
7700,3.3624132,4.8050175,,,,,,,,,,,,,,
7800,2.6272597,4.693348,,,,,,,,,,,,,,
7900,4.0235257,4.7925625,,,,,,,,,,,,,,
8000,4.1377006,4.626369,,,,,,,,,,,,,,
8100,2.4451163,4.56998,,,,,,,,,,,,,,
8200,5.3812838,4.7532253,,,,,,,,,,,,,,
8300,2.6548166,4.6175575,,,,,,,,,,,,,,
8400,5.110328,4.6363645,,,,,,,,,,,,,,
8500,4.399338,4.6701016,,,,,,,,,,,,,,
8555,,,0.017498406,6.8538775,0.01714,6.8836646,50000.0,0.013300001,7.0473847,10000.0,4054.160504579544,4236.279563426971,4054.160504579544,181.96476244926453,0.06117844581604,0.0
8600,3.9190006,4.615329,,,,,,,,,,,,,,
8700,4.807989,4.6643524,,,,,,,,,,,,,,
8800,4.0560064,4.663781,,,,,,,,,,,,,,
8900,2.3713646,4.560508,,,,,,,,,,,,,,
9000,3.1310563,4.735022,,,,,,,,,,,,,,
9100,2.0196095,4.600934,,,,,,,,,,,,,,
9200,4.5948076,4.7118936,,,,,,,,,,,,,,
9300,4.440432,4.5581436,,,,,,,,,,,,,,
9400,4.0950413,4.547077,,,,,,,,,,,,,,
9500,6.096623,4.593965,,,,,,,,,,,,,,
9600,4.0223107,4.5412703,,,,,,,,,,,,,,
9700,6.654725,4.493906,,,,,,,,,,,,,,
9800,3.048213,4.515395,,,,,,,,,,,,,,
9900,7.127709,4.562564,,,,,,,,,,,,,,
10000,4.9848495,4.5625114,,,,,,,,,,,,,,
10100,4.010753,4.4628844,,,,,,,,,,,,,,
10200,4.357708,4.653227,,,,,,,,,,,,,,
10300,4.7995887,4.473192,,,,,,,,,,,,,,
10400,4.51697,4.41822,,,,,,,,,,,,,,
10500,7.413407,4.596696,,,,,,,,,,,,,,
10600,3.730696,4.499548,,,,,,,,,,,,,,
10700,4.485009,4.3142834,,,,,,,,,,,,,,
10800,4.910727,4.5818443,,,,,,,,,,,,,,
10900,7.5671926,4.5632486,,,,,,,,,,,,,,
11000,4.8110433,4.488776,,,,,,,,,,,,,,
11100,3.306362,4.3609653,,,,,,,,,,,,,,
11200,4.4496408,4.4583473,,,,,,,,,,,,,,
11300,5.9234085,4.5032277,,,,,,,,,,,,,,
11400,3.8085492,4.4549417,,,,,,,,,,,,,,
11500,5.577049,4.598137,,,,,,,,,,,,,,
11600,10.1081505,4.594393,,,,,,,,,,,,,,
11700,2.5354192,4.3223047,,,,,,,,,,,,,,
11800,5.0146365,4.3677998,,,,,,,,,,,,,,
11900,11.726548,4.4681683,,,,,,,,,,,,,,
12000,3.943453,4.4635315,,,,,,,,,,,,,,
12100,5.3807335,4.3198504,,,,,,,,,,,,,,
12200,3.4766383,4.3877544,,,,,,,,,,,,,,
12300,10.568528,4.2673883,,,,,,,,,,,,,,
12400,6.1755176,4.3187885,,,,,,,,,,,,,,
12500,3.1115105,4.2702904,,,,,,,,,,,,,,
12600,15.378403,4.8194113,,,,,,,,,,,,,,
12700,5.9025345,4.3292704,,,,,,,,,,,,,,
12800,4.551044,4.4494996,,,,,,,,,,,,,,
12900,5.1649923,4.364517,,,,,,,,,,,,,,
13000,3.7780516,4.3591824,,,,,,,,,,,,,,
13100,3.6919258,4.319685,,,,,,,,,,,,,,
13200,3.4957347,4.3371077,,,,,,,,,,,,,,
13300,6.2175927,4.546797,,,,,,,,,,,,,,
13400,4.022764,4.300337,,,,,,,,,,,,,,
13500,4.375721,4.3900056,,,,,,,,,,,,,,
13600,4.7620397,4.2468677,,,,,,,,,,,,,,
13700,6.674349,4.3372045,,,,,,,,,,,,,,
13800,5.102277,4.2705927,,,,,,,,,,,,,,
13898,,,0.0054807076,7.792888,0.0055799996,7.8234067,50000.0,0.0048,7.8949347,10000.0,6050.281397342682,6340.023873090744,6050.281397342682,289.51229429244995,0.0906753540039062,0.0
13900,4.6612434,4.360518,,,,,,,,,,,,,,
14000,9.671589,4.3709097,,,,,,,,,,,,,,
14100,6.6756473,4.2634535,,,,,,,,,,,,,,
14200,4.188397,4.301291,,,,,,,,,,,,,,
14300,6.3846464,4.2920766,,,,,,,,,,,,,,
14400,7.729719,4.450267,,,,,,,,,,,,,,
14500,4.940676,4.2889547,,,,,,,,,,,,,,
14600,5.685423,4.3023543,,,,,,,,,,,,,,
14700,6.025521,4.2317557,,,,,,,,,,,,,,
14800,5.550496,4.3859606,,,,,,,,,,,,,,
14900,6.9558992,4.3463483,,,,,,,,,,,,,,
15000,4.179987,4.2645884,,,,,,,,,,,,,,
15100,8.461178,4.342894,,,,,,,,,,,,,,
15200,6.066428,4.2697515,,,,,,,,,,,,,,
15300,8.384297,4.3026896,,,,,,,,,,,,,,
15400,13.157255,4.478536,,,,,,,,,,,,,,
15500,5.1059613,4.214382,,,,,,,,,,,,,,
15600,6.574803,4.199633,,,,,,,,,,,,,,
15700,3.8020754,4.220543,,,,,,,,,,,,,,
15800,6.5802546,4.2118673,,,,,,,,,,,,,,
15900,8.7812395,4.5106764,,,,,,,,,,,,,,
16000,6.020957,4.2352915,,,,,,,,,,,,,,
16100,6.2905264,4.0996504,,,,,,,,,,,,,,
16200,6.2848706,4.2259665,,,,,,,,,,,,,,
16300,4.476516,4.2291045,,,,,,,,,,,,,,
16400,4.8956695,4.0644903,,,,,,,,,,,,,,
16500,4.9502535,4.171097,,,,,,,,,,,,,,
16600,6.7560863,4.0699224,,,,,,,,,,,,,,
16700,12.722113,4.260487,,,,,,,,,,,,,,
16800,5.9172606,4.218953,,,,,,,,,,,,,,
16900,7.482336,4.341757,,,,,,,,,,,,,,
17000,6.045823,4.099072,,,,,,,,,,,,,,
17100,4.9697466,4.1792927,,,,,,,,,,,,,,
17200,4.4485536,4.1674023,,,,,,,,,,,,,,
17300,7.331708,4.115638,,,,,,,,,,,,,,
17400,6.1341434,4.244126,,,,,,,,,,,,,,
17500,6.7266316,4.217532,,,,,,,,,,,,,,
17600,5.217182,4.1610994,,,,,,,,,,,,,,
17700,7.654499,4.335679,,,,,,,,,,,,,,
17800,2.9693725,4.1136637,,,,,,,,,,,,,,
17900,8.657811,4.2416687,,,,,,,,,,,,,,
18000,5.2906866,4.109848,,,,,,,,,,,,,,
18100,4.804023,4.188257,,,,,,,,,,,,,,
18200,11.382032,4.210561,,,,,,,,,,,,,,
18300,7.90266,4.0707526,,,,,,,,,,,,,,
18400,3.8684325,4.231892,,,,,,,,,,,,,,
18500,6.293273,4.2106276,,,,,,,,,,,,,,
18600,4.282491,4.1016793,,,,,,,,,,,,,,
18700,9.68986,4.0621505,,,,,,,,,,,,,,
18800,7.6137333,4.165095,,,,,,,,,,,,,,
18900,5.683634,4.170206,,,,,,,,,,,,,,
19000,6.7603464,4.1782537,,,,,,,,,,,,,,
19100,8.425313,4.250406,,,,,,,,,,,,,,
19200,5.6962767,4.097388,,,,,,,,,,,,,,
19241,,,0.0026108099,8.562036,0.00278,8.59723,50000.0,0.0022,8.61545,10000.0,8046.279819965363,8464.760076522827,8046.279819965363,418.1712100505829,0.1234092712402343,0.0
19300,4.7088304,4.109894,,,,,,,,,,,,,,
19400,817.1763,5.1649976,,,,,,,,,,,,,,
19500,5.6983247,4.2566004,,,,,,,,,,,,,,
19600,6.2231283,4.1646814,,,,,,,,,,,,,,
19700,7.6455417,4.133942,,,,,,,,,,,,,,
19800,12.623966,4.0682397,,,,,,,,,,,,,,
19900,9.162977,4.122016,,,,,,,,,,,,,,
20000,5.31537,4.2006073,,,,,,,,,,,,,,
20100,5.702027,4.178713,,,,,,,,,,,,,,
20200,5.904375,4.195683,,,,,,,,,,,,,,
20300,4.1811666,4.158892,,,,,,,,,,,,,,
20400,5.2989426,4.177989,,,,,,,,,,,,,,
20500,6.68945,4.1081076,,,,,,,,,,,,,,
20600,8.670472,4.1834607,,,,,,,,,,,,,,
20700,3.4487927,4.0521584,,,,,,,,,,,,,,
20800,18.611382,4.169209,,,,,,,,,,,,,,
20900,4.3434463,4.120068,,,,,,,,,,,,,,
21000,4.5350137,4.0377173,,,,,,,,,,,,,,
21100,7.8448668,4.1722116,,,,,,,,,,,,,,
21200,4.7753673,4.1131096,,,,,,,,,,,,,,
21300,7.04326,4.145714,,,,,,,,,,,,,,
21400,6.77241,4.210804,,,,,,,,,,,,,,
21500,6.2132034,4.1954603,,,,,,,,,,,,,,
21600,6.2098293,4.05071,,,,,,,,,,,,,,
21700,5.7468967,3.9863052,,,,,,,,,,,,,,
21800,11.739856,4.1220818,,,,,,,,,,,,,,
21900,4.3145895,4.2107944,,,,,,,,,,,,,,
22000,5.187863,4.096172,,,,,,,,,,,,,,
22100,14.661001,4.1492796,,,,,,,,,,,,,,
22200,2.6981196,4.0734816,,,,,,,,,,,,,,
22300,6.5809817,4.1809664,,,,,,,,,,,,,,
22400,4.2702684,4.0001583,,,,,,,,,,,,,,
22500,4.2359834,4.029404,,,,,,,,,,,,,,
22600,7.4356155,4.1462507,,,,,,,,,,,,,,
22700,4.446116,3.9997013,,,,,,,,,,,,,,
22800,6.867658,4.1320753,,,,,,,,,,,,,,
22900,5.168276,4.132659,,,,,,,,,,,,,,
23000,6.0082045,4.144842,,,,,,,,,,,,,,
23100,8.001881,4.1126423,,,,,,,,,,,,,,
23200,5.636435,4.0726447,,,,,,,,,,,,,,
23300,4.6584454,3.9167626,,,,,,,,,,,,,,
23383,,,0.0017338967,9.085137,0.00208,9.102534,50000.0,0.0016000001,9.104018,10000.0,10042.387595891953,10560.322937726974,10042.387595891953,517.5279848575592,0.1553406715393066,0.0
23400,7.469197,4.0201206,,,,,,,,,,,,,,
23500,4.324219,4.0988574,,,,,,,,,,,,,,
23600,6.944002,4.1543145,,,,,,,,,,,,,,
23700,3.6725426,3.9369683,,,,,,,,,,,,,,
23800,6.2474394,4.0925603,,,,,,,,,,,,,,
