global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.3459713,6.907756,,,,,,,,,,,,,,
1,,,0.0007617187,6.907755,0.0009999999,6.907755,50000.0,0.001,6.907755,10000.0,55.49204921722412,130.3555634021759,55.49204921722412,74.86340236663818,0.0,0.0
100,0.51208794,6.8698387,,,,,,,,,,,,,,
200,0.7066654,6.731517,,,,,,,,,,,,,,
300,0.68302417,6.6252146,,,,,,,,,,,,,,
400,1.6041125,6.583159,,,,,,,,,,,,,,
500,1.4801238,6.4231343,,,,,,,,,,,,,,
600,1.5636908,6.387997,,,,,,,,,,,,,,
700,1.3055824,6.2512574,,,,,,,,,,,,,,
800,2.257892,6.8163605,,,,,,,,,,,,,,
900,0.9655491,6.663873,,,,,,,,,,,,,,
1000,0.8604429,6.4858694,,,,,,,,,,,,,,
1100,1.4638231,6.5649934,,,,,,,,,,,,,,
1200,1.0499564,6.0286965,,,,,,,,,,,,,,
1300,1.4774016,5.9449267,,,,,,,,,,,,,,
1400,1.205363,5.933524,,,,,,,,,,,,,,
1500,1.4271116,5.8483934,,,,,,,,,,,,,,
1600,0.96374035,5.9026475,,,,,,,,,,,,,,
1700,1.2741776,5.8741674,,,,,,,,,,,,,,
1800,0.98900586,6.180568,,,,,,,,,,,,,,
1900,1.25746,5.7869034,,,,,,,,,,,,,,
2000,1.2992471,5.672918,,,,,,,,,,,,,,
2100,0.87107706,6.21525,,,,,,,,,,,,,,
2200,0.99256164,6.1156583,,,,,,,,,,,,,,
2300,1.0629556,6.2821016,,,,,,,,,,,,,,
2400,0.95207125,5.295117,,,,,,,,,,,,,,
2500,0.7559189,6.4094086,,,,,,,,,,,,,,
2600,0.9758479,5.360444,,,,,,,,,,,,,,
2700,1.1042713,5.9258275,,,,,,,,,,,,,,
2800,1.1400852,6.1914616,,,,,,,,,,,,,,
2900,1.1112424,5.24866,,,,,,,,,,,,,,
3000,1.0235469,5.279839,,,,,,,,,,,,,,
3100,1.1957551,5.157099,,,,,,,,,,,,,,
3200,1.1959363,5.0368376,,,,,,,,,,,,,,
3300,1.1624476,5.1337113,,,,,,,,,,,,,,
3400,0.9836754,5.0423956,,,,,,,,,,,,,,
3500,0.75489193,5.974831,,,,,,,,,,,,,,
3600,0.972784,4.995842,,,,,,,,,,,,,,
3700,0.9847739,5.084939,,,,,,,,,,,,,,
3800,0.87109935,4.8984423,,,,,,,,,,,,,,
3900,0.9494816,4.6814322,,,,,,,,,,,,,,
4000,0.89270693,4.995344,,,,,,,,,,,,,,
4100,1.050726,4.939154,,,,,,,,,,,,,,
4200,1.0378873,4.8167605,,,,,,,,,,,,,,
4300,0.9517506,5.983427,,,,,,,,,,,,,,
4400,1.1205674,5.142557,,,,,,,,,,,,,,
4500,1.1120167,4.60557,,,,,,,,,,,,,,
4600,1.0429476,6.1994596,,,,,,,,,,,,,,
4700,0.96810156,4.6152596,,,,,,,,,,,,,,
4800,0.92955333,5.1312985,,,,,,,,,,,,,,
4900,0.82649237,6.2120957,,,,,,,,,,,,,,
5000,0.7978929,5.972122,,,,,,,,,,,,,,
5100,1.0330892,4.352376,,,,,,,,,,,,,,
5200,0.83365905,5.730056,,,,,,,,,,,,,,
5300,0.8846191,6.0549793,,,,,,,,,,,,,,
5308,,,0.2923047,3.4831302,0.26856,3.6185699,50000.0,0.19970001,4.094911,10000.0,2626.603167295456,2725.554208993912,2626.603167295456,98.76595664024352,0.1161983013153076,0.0
5400,0.8465122,5.492881,,,,,,,,,,,,,,
5500,1.2127917,4.2303395,,,,,,,,,,,,,,
5600,1.1972028,4.2692957,,,,,,,,,,,,,,
5700,1.0445842,4.2356873,,,,,,,,,,,,,,
5800,0.9136314,5.481189,,,,,,,,,,,,,,
5900,1.1374966,4.2139626,,,,,,,,,,,,,,
6000,0.9131036,6.0449367,,,,,,,,,,,,,,
6100,1.0554898,4.0003242,,,,,,,,,,,,,,
6200,1.2289773,4.145356,,,,,,,,,,,,,,
6300,1.0652246,4.044053,,,,,,,,,,,,,,
6400,1.2348069,4.1063046,,,,,,,,,,,,,,
6500,0.77563107,6.036988,,,,,,,,,,,,,,
6600,0.991524,5.937774,,,,,,,,,,,,,,
6700,1.1588203,4.2470207,,,,,,,,,,,,,,
6800,1.0688915,6.113435,,,,,,,,,,,,,,
6900,1.0862467,4.002715,,,,,,,,,,,,,,
7000,1.0797262,3.9806235,,,,,,,,,,,,,,
7100,0.77031046,6.048633,,,,,,,,,,,,,,
7200,0.7813278,5.6550913,,,,,,,,,,,,,,
7300,1.167432,3.866512,,,,,,,,,,,,,,
7400,0.9172162,5.9085627,,,,,,,,,,,,,,
7500,1.1765336,3.8762088,,,,,,,,,,,,,,
7600,1.0100429,4.1225705,,,,,,,,,,,,,,
7700,0.71989226,5.9934916,,,,,,,,,,,,,,
7800,1.238346,3.8813574,,,,,,,,,,,,,,
7900,1.033413,4.232251,,,,,,,,,,,,,,
8000,1.1551323,4.68291,,,,,,,,,,,,,,
8100,0.9352442,4.046064,,,,,,,,,,,,,,
8200,0.939938,5.9618664,,,,,,,,,,,,,,
8300,0.8775818,5.7352886,,,,,,,,,,,,,,
8400,1.3321214,3.6563115,,,,,,,,,,,,,,
8500,1.0120589,4.508746,,,,,,,,,,,,,,
