global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,54.55819,32.077206,,,,,,,,,,,,,,
1,,,7.9469433,1.044306894612998,7.6784267,0.9375175010862744,5348.0,7.7219095,0.961001767107428,2472.0,210.54182243347168,439.5891168117523,210.54182243347168,229.04721355438232,0.0,0.0
100,0.6139397,5.939971,,,,,,,,,,,,,,
200,1.7281659,5.8571367,,,,,,,,,,,,,,
300,1.9417593,5.8092694,,,,,,,,,,,,,,
400,1.469675,5.7945485,,,,,,,,,,,,,,
429,,,1.4678591,0.944635537887994,1.4717903,0.8967218654950997,5348.0,1.469696,0.899579550301627,2472.0,1958.5652182102203,2283.72403550148,1958.5652182102203,325.10712933540344,0.0453114509582519,0.0
500,0.5711784,5.783337,,,,,,,,,,,,,,
600,0.8071148,5.808621,,,,,,,,,,,,,,
700,1.7658554,5.7175317,,,,,,,,,,,,,,
800,2.1285203,5.5978556,,,,,,,,,,,,,,
821,,,1.4934036,0.9427216791412514,1.488873,0.8967218654950997,5348.0,1.4844515,0.899579550301627,2472.0,3711.2995948791504,4122.536984205246,3711.2995948791504,411.1370029449463,0.0877230167388916,0.0
900,5.9353385,5.893146,,,,,,,,,,,,,,
1000,0.36157092,5.813795,,,,,,,,,,,,,,
1100,0.78163576,5.823642,,,,,,,,,,,,,,
1200,1.8300565,5.8027086,,,,,,,,,,,,,,
1300,0.34649372,5.8038263,,,,,,,,,,,,,,
1327,,,1.4973278,0.9433243196230056,1.5197185,0.8967218654950997,5348.0,1.5153385,0.899579550301627,2472.0,5460.440075874329,5958.311966180801,5460.440075874329,497.7235114574432,0.128366470336914,0.0
1400,1.3251777,5.7834764,,,,,,,,,,,,,,
1500,1.0807908,5.7817583,,,,,,,,,,,,,,
1600,0.48455873,5.7985415,,,,,,,,,,,,,,
1700,1.0646864,5.7737255,,,,,,,,,,,,,,
1779,,,1.4646087,0.9437003215030004,1.4603739,0.8967218654950997,5348.0,1.459085,0.899579550301627,2472.0,7220.019873380661,7804.522786855698,7220.019873380661,584.307135105133,0.168943166732788,0.0
1800,2.1743476,5.7942963,,,,,,,,,,,,,,
1900,1.0011317,5.764904,,,,,,,,,,,,,,
2000,0.19123854,5.786209,,,,,,,,,,,,,,
2100,1.98272,5.7859755,,,,,,,,,,,,,,
2200,0.3581705,5.783582,,,,,,,,,,,,,,
2290,,,1.4534584,0.941551240514036,1.4368334,0.8967218654950997,5348.0,1.4365015,0.899579550301627,2472.0,8973.809955835342,9645.543063879011,8973.809955835342,671.4873688220978,0.2114157676696777,0.0
2300,0.33076477,5.802844,,,,,,,,,,,,,,
2400,0.31121692,5.791815,,,,,,,,,,,,,,
2500,0.69442266,5.80156,,,,,,,,,,,,,,
2600,2.8424776,5.8110995,,,,,,,,,,,,,,
2700,2.0925794,5.7324634,,,,,,,,,,,,,,
2800,2.5168805,5.6212597,,,,,,,,,,,,,,
2830,,,1.5058166,0.9426410101839948,1.4817427,0.8967218654950997,5348.0,1.4881244,0.899579550301627,2472.0,10724.082638263702,11484.317168712616,10724.082638263702,759.9404380321503,0.2521142959594726,0.0
2900,0.4411732,5.599257,,,,,,,,,,,,,,
3000,2.4970622,5.612039,,,,,,,,,,,,,,
3100,1.3037614,5.5807443,,,,,,,,,,,,,,
3200,2.6311505,5.613199,,,,,,,,,,,,,,
3300,0.51419044,5.628466,,,,,,,,,,,,,,
3400,1.6320602,5.6028466,,,,,,,,,,,,,,
3416,,,1.932819,0.9428243251866504,1.8834337,0.8967218654950997,5348.0,1.8861715,0.899579550301627,2472.0,12473.42986178398,13321.697832345964,12473.42986178398,847.9238979816437,0.2938647270202636,0.0
3500,0.2852263,5.583748,,,,,,,,,,,,,,
3600,0.57574266,5.572327,,,,,,,,,,,,,,
3700,2.170781,5.555673,,,,,,,,,,,,,,
3800,0.33494347,5.5328827,,,,,,,,,,,,,,
3900,1.0207084,5.5028405,,,,,,,,,,,,,,
3958,,,1.6519754,0.9440859096700382,1.610791,0.8967218654950997,5348.0,1.6294675,0.899579550301627,2472.0,14221.114128828049,15156.614933729172,14221.114128828049,935.1087772846222,0.3340315818786621,0.0
4000,2.4893522,5.519908,,,,,,,,,,,,,,
4100,0.58405817,5.528758,,,,,,,,,,,,,,
4200,0.3158437,5.5200057,,,,,,,,,,,,,,
4300,0.5717739,5.48797,,,,,,,,,,,,,,
4400,0.4887285,5.479761,,,,,,,,,,,,,,
4500,0.7073043,5.491392,,,,,,,,,,,,,,
4600,1.1204331,5.5354657,,,,,,,,,,,,,,
4639,,,1.4257389,0.9427990785714666,1.4275572,0.8967218654950997,5348.0,1.4249071,0.899579550301627,2472.0,15975.763199329376,16999.145350933075,15975.763199329376,1022.9398798942566,0.3753840923309326,0.0
4700,1.5886606,5.503622,,,,,,,,,,,,,,
4800,0.29696897,5.4916697,,,,,,,,,,,,,,
4900,1.4881237,5.478866,,,,,,,,,,,,,,
5000,0.3093812,5.4735484,,,,,,,,,,,,,,
5100,0.38340974,5.4876714,,,,,,,,,,,,,,
5127,,,1.3858825,0.9423383225986368,1.3852079,0.8967218654950997,5348.0,1.3746111,0.899579550301627,2472.0,17723.95907330513,18835.406282186508,17723.95907330513,1110.954391002655,0.4185211658477783,0.0
5200,1.2768308,5.4697657,,,,,,,,,,,,,,
5300,0.5503823,5.4812355,,,,,,,,,,,,,,
5400,1.6791698,5.488344,,,,,,,,,,,,,,
5500,0.27010474,5.4404125,,,,,,,,,,,,,,
5600,0.5507914,5.486084,,,,,,,,,,,,,,
5700,0.755586,5.464306,,,,,,,,,,,,,,
5800,0.26798508,5.468545,,,,,,,,,,,,,,
5855,,,1.3648779,0.9431396916893624,1.3626018,0.8967218654950997,5348.0,1.3518143,0.899579550301627,2472.0,19473.88550209999,20673.687895298004,19473.88550209999,1199.2552824020386,0.4635133743286133,0.0
5900,0.31689832,5.4461393,,,,,,,,,,,,,,
6000,1.1345673,5.4366064,,,,,,,,,,,,,,
6100,1.4017388,5.450683,,,,,,,,,,,,,,
6200,0.30794182,5.4356756,,,,,,,,,,,,,,
6300,1.0229046,5.4296794,,,,,,,,,,,,,,
6400,1.305751,5.436326,,,,,,,,,,,,,,
6489,,,1.3607872,0.9432611391035955,1.3525884,0.8967218654950997,5348.0,1.3426793,0.899579550301627,2472.0,21225.53645253181,22513.975883722305,21225.53645253181,1287.840455532074,0.5067708492279053,0.0
6500,0.5431154,5.434366,,,,,,,,,,,,,,
6600,0.5670086,5.428404,,,,,,,,,,,,,,
6700,0.68592274,5.40227,,,,,,,,,,,,,,
6800,1.3726817,5.4032936,,,,,,,,,,,,,,
6900,0.9248398,5.4093523,,,,,,,,,,,,,,
7000,0.71336746,5.409949,,,,,,,,,,,,,,
7070,,,1.3553333,0.944665089000926,1.3399241,0.8967122097233622,5348.0,1.3296537,0.899579550301627,2472.0,22982.90679168701,24359.72029852867,22982.90679168701,1376.1639714241028,0.5493106842041016,0.0
7100,0.6197785,5.4088955,,,,,,,,,,,,,,
7200,1.0209501,5.386865,,,,,,,,,,,,,,
7300,0.41387057,5.3323765,,,,,,,,,,,,,,
7400,0.23160495,5.3835983,,,,,,,,,,,,,,
7500,0.47734225,5.3435416,,,,,,,,,,,,,,
7600,0.7494676,5.3295875,,,,,,,,,,,,,,
7700,1.6908578,5.284409,,,,,,,,,,,,,,
7800,1.4653844,5.2625732,,,,,,,,,,,,,,
7804,,,1.3164062,0.9431611840716186,1.3113327,0.8967025539516246,5348.0,1.2976878,0.8995389271423638,2472.0,24732.78226089477,26198.433569669724,24732.78226089477,1464.945946931839,0.5952696800231934,0.0
7900,0.5531801,5.2130575,,,,,,,,,,,,,,
8000,1.0451041,5.2184772,,,,,,,,,,,,,,
8100,1.0411831,5.1734986,,,,,,,,,,,,,,
8200,0.71479344,5.117982,,,,,,,,,,,,,,
8300,1.1511545,5.0589166,,,,,,,,,,,,,,
8395,,,1.2593367,0.942398080283784,1.2603006,0.8959687152995703,5348.0,1.2392235,0.8985233481607865,2472.0,26480.262311697006,28039.09242296219,26480.262311697006,1558.073311805725,0.6379978656768799,0.0
8400,1.9746052,5.0216465,,,,,,,,,,,,,,
8500,0.79136544,4.912454,,,,,,,,,,,,,,
8600,0.96139705,4.86571,,,,,,,,,,,,,,
8700,0.40098825,4.8385563,,,,,,,,,,,,,,
8800,0.3667055,4.753493,,,,,,,,,,,,,,
8900,0.7955271,4.6897407,,,,,,,,,,,,,,
9000,0.5214102,4.6256175,,,,,,,,,,,,,,
9060,,,1.1285665,0.8925857360567039,1.1590958,0.8604258195336262,5348.0,1.1228318,0.8597079194848983,2472.0,28227.9973654747,29880.69926738739,28227.9973654747,1651.89115357399,0.6828734874725342,0.0
9100,1.0172594,4.6275296,,,,,,,,,,,,,,
9200,0.6000627,4.5105233,,,,,,,,,,,,,,
