global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,5.5190105,11.1502075,,,,,,,,,,,,,,,,,
1,,,0.0006890452932566,11.152155876159668,1.3930701646680714e-10,0.0004835649742744,11.1449613571167,0.0,3000.0,0.0007088489946909,11.144030570983888,1.2553809087045416e-10,3003.0,58.005565881729126,977.6262874603271,58.005565881729126,919.6205627918245,0.0,0.0
100,0.49535948,8.005459,,,,,,,,,,,,,,,,,
200,0.41254726,7.251731,,,,,,,,,,,,,,,,,
300,0.54544765,6.639582,,,,,,,,,,,,,,,,,
400,0.5855103,6.106997,,,,,,,,,,,,,,,,,
500,0.54370064,5.7394104,,,,,,,,,,,,,,,,,
600,0.43807498,5.369846,,,,,,,,,,,,,,,,,
700,0.44765657,5.1527267,,,,,,,,,,,,,,,,,
800,0.36539704,4.7992425,,,,,,,,,,,,,,,,,
900,0.40550873,4.694078,,,,,,,,,,,,,,,,,
1000,0.46021032,4.50856,,,,,,,,,,,,,,,,,
1100,0.45212248,4.2114654,,,,,,,,,,,,,,,,,
1200,0.4739582,3.974344,,,,,,,,,,,,,,,,,
1300,0.4581867,3.945135,,,,,,,,,,,,,,,,,
1400,0.43345845,3.7334352,,,,,,,,,,,,,,,,,
1500,0.47305268,3.548884,,,,,,,,,,,,,,,,,
1600,0.40877143,3.4203207,,,,,,,,,,,,,,,,,
1700,0.42974648,3.3010633,,,,,,,,,,,,,,,,,
1800,0.403158,3.2504265,,,,,,,,,,,,,,,,,
1900,0.35470283,3.028062,,,,,,,,,,,,,,,,,
2000,0.31438646,3.1049912,,,,,,,,,,,,,,,,,
2100,0.3336223,2.8390856,,,,,,,,,,,,,,,,,
2200,0.33554828,2.899231,,,,,,,,,,,,,,,,,
2300,0.27831736,2.8615394,,,,,,,,,,,,,,,,,
2400,0.27597198,2.7736466,,,,,,,,,,,,,,,,,
2500,0.2714156,2.8341465,,,,,,,,,,,,,,,,,
2600,0.26053682,2.695106,,,,,,,,,,,,,,,,,
2700,0.24409126,2.620723,,,,,,,,,,,,,,,,,
2800,0.23593138,2.6227558,,,,,,,,,,,,,,,,,
2900,0.2152631,2.6128345,,,,,,,,,,,,,,,,,
3000,0.21828918,2.4987462,,,,,,,,,,,,,,,,,
3100,0.2349218,2.566784,,,,,,,,,,,,,,,,,
3200,0.22994938,2.5636232,,,,,,,,,,,,,,,,,
3300,0.19914061,2.5035355,,,,,,,,,,,,,,,,,
3400,0.23320653,2.4624395,,,,,,,,,,,,,,,,,
3500,0.19549684,2.3264968,,,,,,,,,,,,,,,,,
3600,0.1911185,2.3820136,,,,,,,,,,,,,,,,,
3700,0.19104606,2.3415859,,,,,,,,,,,,,,,,,
3800,0.19809644,2.3830075,,,,,,,,,,,,,,,,,
3900,0.18083024,2.343922,,,,,,,,,,,,,,,,,
4000,0.20147775,2.3626962,,,,,,,,,,,,,,,,,
4100,0.20446086,2.2580514,,,,,,,,,,,,,,,,,
4200,0.18704858,2.2885215,,,,,,,,,,,,,,,,,
4300,0.17360078,2.2587843,,,,,,,,,,,,,,,,,
4400,0.1821999,2.214336,,,,,,,,,,,,,,,,,
4428,,,0.5873690247535706,2.20256781578064,27.691209204184183,0.5978227257728577,2.1264688968658447,23.69957230138107,3000.0,0.5996630191802979,2.099370002746582,22.46138684419736,3003.0,702.021279335022,2158.537318229676,702.021279335022,1456.450924396515,0.0308592319488525,0.0
4500,0.1797137,2.1964555,,,,,,,,,,,,,,,,,
4600,0.170525,2.2596188,,,,,,,,,,,,,,,,,
4700,0.16669615,2.176652,,,,,,,,,,,,,,,,,
4800,0.18283272,2.161225,,,,,,,,,,,,,,,,,
4900,0.15367791,2.0723026,,,,,,,,,,,,,,,,,
5000,0.15759094,2.1794295,,,,,,,,,,,,,,,,,
5100,0.18651772,2.1768553,,,,,,,,,,,,,,,,,
5200,0.15168314,2.1614802,,,,,,,,,,,,,,,,,
5300,0.15683223,2.2721884,,,,,,,,,,,,,,,,,
5400,0.15376744,2.2110858,,,,,,,,,,,,,,,,,
5500,0.16971089,2.1671584,,,,,,,,,,,,,,,,,
5600,0.16657312,2.1341207,,,,,,,,,,,,,,,,,
5700,0.15583053,2.0372334,,,,,,,,,,,,,,,,,
5800,0.17256735,2.1067374,,,,,,,,,,,,,,,,,
5900,0.1560895,2.1071413,,,,,,,,,,,,,,,,,
6000,0.16093408,2.1054351,,,,,,,,,,,,,,,,,
6100,0.16114877,2.0396464,,,,,,,,,,,,,,,,,
6200,0.1569054,2.1034923,,,,,,,,,,,,,,,,,
6300,0.15911672,2.0872245,,,,,,,,,,,,,,,,,
6400,0.20664486,2.1400387,,,,,,,,,,,,,,,,,
6500,0.15707524,2.0540488,,,,,,,,,,,,,,,,,
6600,0.15251519,2.092523,,,,,,,,,,,,,,,,,
6700,0.17407733,2.1136913,,,,,,,,,,,,,,,,,
6800,0.17200325,2.117241,,,,,,,,,,,,,,,,,
6900,0.16032591,2.1079664,,,,,,,,,,,,,,,,,
7000,0.14474097,2.0558515,,,,,,,,,,,,,,,,,
7100,0.14193861,2.0499887,,,,,,,,,,,,,,,,,
7200,0.18734574,2.0614078,,,,,,,,,,,,,,,,,
7300,0.155331,1.965775,,,,,,,,,,,,,,,,,
7400,0.1873419,1.9613765,,,,,,,,,,,,,,,,,
7500,0.1503652,1.9591173,,,,,,,,,,,,,,,,,
7600,0.14179313,1.953116,,,,,,,,,,,,,,,,,
7700,0.14942642,1.9969748,,,,,,,,,,,,,,,,,
7800,0.14241779,1.9188273,,,,,,,,,,,,,,,,,
7900,0.14928137,1.9251041,,,,,,,,,,,,,,,,,
8000,0.16047575,1.867132,,,,,,,,,,,,,,,,,
8100,0.1513724,1.958123,,,,,,,,,,,,,,,,,
8200,0.26042792,2.0153668,,,,,,,,,,,,,,,,,
8300,0.15254074,1.9641197,,,,,,,,,,,,,,,,,
8400,0.14542535,2.017813,,,,,,,,,,,,,,,,,
8500,0.14969459,2.0067692,,,,,,,,,,,,,,,,,
8600,0.16618249,1.8652008,,,,,,,,,,,,,,,,,
8700,0.17930236,1.9296935,,,,,,,,,,,,,,,,,
8800,0.1632948,1.8394533,,,,,,,,,,,,,,,,,
8900,0.15182178,1.9177179,,,,,,,,,,,,,,,,,
9000,0.18142334,1.9451439,,,,,,,,,,,,,,,,,
9100,0.15406659,1.9176512,,,,,,,,,,,,,,,,,
9200,0.2247503,1.9525728,,,,,,,,,,,,,,,,,
9278,,,0.6315009593963623,1.837517261505127,31.077650604292355,0.6425462961196899,1.752715229988098,26.871978061265985,3000.0,0.6522224545478821,1.6843254566192627,26.011555508859185,3003.0,1346.0358908176422,3388.05420422554,1346.0358908176422,2041.8805599212649,0.0663516521453857,0.0
9300,0.16200171,1.8807871,,,,,,,,,,,,,,,,,
9400,0.16570525,1.8918369,,,,,,,,,,,,,,,,,
9500,0.15717074,1.8719683,,,,,,,,,,,,,,,,,
9600,0.16576062,1.9124035,,,,,,,,,,,,,,,,,
9700,0.14277028,1.9191633,,,,,,,,,,,,,,,,,
9800,0.1613866,1.8788863,,,,,,,,,,,,,,,,,
9900,0.1776464,1.8835381,,,,,,,,,,,,,,,,,
10000,0.15874796,1.910315,,,,,,,,,,,,,,,,,
10100,0.22493184,1.8462484,,,,,,,,,,,,,,,,,
10200,0.1722147,1.8787184,,,,,,,,,,,,,,,,,
10300,0.17989688,1.8914032,,,,,,,,,,,,,,,,,
10400,0.18072395,1.9700286,,,,,,,,,,,,,,,,,
10500,0.14407617,1.9635701,,,,,,,,,,,,,,,,,
10600,0.17663516,1.8675302,,,,,,,,,,,,,,,,,
10700,0.18952128,1.9747639,,,,,,,,,,,,,,,,,
10800,0.16336595,1.8429419,,,,,,,,,,,,,,,,,
10900,0.159974,1.7778459,,,,,,,,,,,,,,,,,
11000,0.17703994,1.9069284,,,,,,,,,,,,,,,,,
11100,0.15228976,1.8611633,,,,,,,,,,,,,,,,,
11200,0.1647588,1.7590364,,,,,,,,,,,,,,,,,
11300,0.21264398,1.8874227,,,,,,,,,,,,,,,,,
11400,0.15417923,1.871923,,,,,,,,,,,,,,,,,
11500,0.15144785,1.8767811,,,,,,,,,,,,,,,,,
11600,0.17293656,1.7824616,,,,,,,,,,,,,,,,,
11700,0.18621159,1.8636705,,,,,,,,,,,,,,,,,
11800,0.15404911,1.852488,,,,,,,,,,,,,,,,,
11900,0.16835815,1.921928,,,,,,,,,,,,,,,,,
12000,0.20429288,1.9166163,,,,,,,,,,,,,,,,,
12100,0.15016577,1.8387628,,,,,,,,,,,,,,,,,
12200,0.14240377,1.8081495,,,,,,,,,,,,,,,,,
12300,0.16074798,1.8429474,,,,,,,,,,,,,,,,,
12400,0.18083504,1.8458114,,,,,,,,,,,,,,,,,
12500,0.2845391,1.9372736,,,,,,,,,,,,,,,,,
12600,0.18453336,1.8211267,,,,,,,,,,,,,,,,,
12700,0.16368246,1.8466909,,,,,,,,,,,,,,,,,
12800,0.15527189,1.8007727,,,,,,,,,,,,,,,,,
12900,0.17434475,1.9124547,,,,,,,,,,,,,,,,,
13000,0.15765968,1.7421,,,,,,,,,,,,,,,,,
13100,0.17515598,1.7538922,,,,,,,,,,,,,,,,,
13200,0.15315895,1.822883,,,,,,,,,,,,,,,,,
13300,0.2535885,1.7968438,,,,,,,,,,,,,,,,,
13400,0.18561327,1.7790787,,,,,,,,,,,,,,,,,
13500,0.15170158,1.7623943,,,,,,,,,,,,,,,,,
13600,0.16380757,1.8136194,,,,,,,,,,,,,,,,,
13700,0.19623159,1.7617236,,,,,,,,,,,,,,,,,
13800,0.16431259,1.7578324,,,,,,,,,,,,,,,,,
13900,0.17848474,1.8758858,,,,,,,,,,,,,,,,,
14000,0.14908056,1.736858,,,,,,,,,,,,,,,,,
14100,0.15516074,1.8012849,,,,,,,,,,,,,,,,,
14138,,,0.6488094925880432,1.7058359384536743,32.01948958303193,0.658255934715271,1.6213781833648682,28.22431646783092,3000.0,0.6694207191467285,1.5441235303878784,27.12403561086952,3003.0,1990.0268309116364,4599.465285778046,1990.0268309116364,2609.2280220985413,0.1017043590545654,0.0
14200,0.1833586,1.8288009,,,,,,,,,,,,,,,,,
14300,0.15600426,1.7990875,,,,,,,,,,,,,,,,,
14400,0.15633905,1.8230835,,,,,,,,,,,,,,,,,
14500,0.17844623,1.6845467,,,,,,,,,,,,,,,,,
14600,0.19106372,1.8237746,,,,,,,,,,,,,,,,,
14700,0.17328231,1.8516115,,,,,,,,,,,,,,,,,
14800,0.20963457,1.8009086,,,,,,,,,,,,,,,,,
14900,0.17008206,1.7801061,,,,,,,,,,,,,,,,,
15000,0.19130546,1.7821548,,,,,,,,,,,,,,,,,
15100,0.1724259,1.818272,,,,,,,,,,,,,,,,,
15200,0.16558895,1.7895963,,,,,,,,,,,,,,,,,
15300,0.16926363,1.76246,,,,,,,,,,,,,,,,,
15400,0.16621684,1.7808888,,,,,,,,,,,,,,,,,
15500,0.15220368,1.7150116,,,,,,,,,,,,,,,,,
15600,0.16309191,1.7569766,,,,,,,,,,,,,,,,,
15700,0.16252956,1.7389265,,,,,,,,,,,,,,,,,
15800,0.24701773,1.7429891,,,,,,,,,,,,,,,,,
15900,0.26817483,1.7732588,,,,,,,,,,,,,,,,,
16000,0.22607747,1.8216796,,,,,,,,,,,,,,,,,
16100,0.16257146,1.7262119,,,,,,,,,,,,,,,,,
16200,0.1647875,1.7214386,,,,,,,,,,,,,,,,,
16300,0.22368008,1.7412182,,,,,,,,,,,,,,,,,
16400,0.17039192,1.7405189,,,,,,,,,,,,,,,,,
16500,0.17154667,1.8105844,,,,,,,,,,,,,,,,,
16600,0.20945744,1.7767556,,,,,,,,,,,,,,,,,
16700,0.19765566,1.7407137,,,,,,,,,,,,,,,,,
16800,0.24793543,1.761325,,,,,,,,,,,,,,,,,
