global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.7073565,0.9557692,,,,,,,,,,,,,,
1,,,0.2114025013787406,0.9561726706368584,0.2048325417883019,0.9553914410919034,3554.0,0.2279542583688215,0.9538948508621892,3581.0,196.9033393859864,755.9568572044373,196.9033393859864,559.0533547401428,0.0,0.0
100,0.5010777,0.32288513,,,,,,,,,,,,,,
200,0.5564679,0.28030175,,,,,,,,,,,,,,
297,,,0.7223152433122907,0.2871835231781006,0.6967939678443303,0.3118154926117579,3554.0,0.7141125553049078,0.313966650431531,3581.0,307.3230459690094,870.1619243621826,307.3230459690094,562.8078515529633,0.0282468795776367,0.0
300,0.21763466,0.30914354,,,,,,,,,,,,,,
396,,,0.7278985295976911,0.2816117831638881,0.702792380724184,0.3058101415768324,3554.0,0.7198753239754957,0.3080314970722214,3581.0,417.3900821208954,983.7574830055236,417.3900821208954,566.3067276477814,0.0568208694458007,0.0
400,0.8007365,0.30689946,,,,,,,,,,,,,,
500,0.22868867,0.23720914,,,,,,,,,,,,,,
503,,,0.7311991964067731,0.278340424810137,0.7057261899004643,0.3025726335533026,3554.0,0.7228797330965513,0.3046421284317404,3581.0,527.8503785133362,1097.748916387558,527.8503785133362,569.8071048259735,0.0864598751068115,0.0
600,0.081239015,0.409109,,,,,,,,,,,,,,
607,,,0.733489990234375,0.2759969064167568,0.7078328473419034,0.3002404860720315,3554.0,0.7250187076759285,0.3021811554798764,3581.0,638.814749956131,1212.2815492153168,638.814749956131,573.3462243080139,0.1144940853118896,0.0
700,0.20297207,0.25925285,,,,,,,,,,,,,,
715,,,0.7339192799159459,0.2763853754316057,0.7086240031038971,0.3004081696020329,3554.0,0.7256195485941427,0.3024810305256911,3581.0,749.1492154598236,1326.1773509979248,749.1492154598236,576.8797521591187,0.1411731243133545,0.0
800,0.24846323,0.29478997,,,,,,,,,,,,,,
827,,,0.7362498555864606,0.2732882840292794,0.7107942030546567,0.2973334677915729,3554.0,0.7278263589517593,0.2992580129393849,3581.0,859.8732776641846,1440.4507582187653,859.8732776641846,580.3983552455902,0.1707346439361572,0.0
900,0.25675112,0.3377974,,,,,,,,,,,,,,
937,,,0.7373886108398438,0.2721918480736868,0.7118252403761607,0.2962767043406197,3554.0,0.7288671438669366,0.2981363705036128,3581.0,970.4743475914,1554.5793204307556,970.4743475914,583.8964128494263,0.1990230083465576,0.0
1000,0.14510748,0.23461743,,,,,,,,,,,,,,
1100,0.10587255,0.2543655,,,,,,,,,,,,,,
1200,0.23863564,0.22931033,,,,,,,,,,,,,,
1300,0.14911239,0.2244326,,,,,,,,,,,,,,
1400,0.11470261,0.29764846,,,,,,,,,,,,,,
1500,0.22991934,0.3781049,,,,,,,,,,,,,,
1600,0.17487197,0.30222362,,,,,,,,,,,,,,
1700,0.59148836,0.21627524,,,,,,,,,,,,,,
1725,,,0.742039680480957,0.2678095272609165,0.7160948161402645,0.2921117161121271,3554.0,0.7332934454412176,0.2937284766279496,3581.0,1080.444754600525,1668.0944957733154,1080.444754600525,587.4035198688507,0.2306578159332275,0.0
1800,0.1522159,0.2609197,,,,,,,,,,,,,,
1900,0.100086905,0.2900802,,,,,,,,,,,,,,
2000,0.10881666,0.2684679,,,,,,,,,,,,,,
2100,0.09841563,0.26769382,,,,,,,,,,,,,,
2200,0.372046,0.20536058,,,,,,,,,,,,,,
2300,0.11413283,0.2706541,,,,,,,,,,,,,,
2400,0.11035085,0.30139312,,,,,,,,,,,,,,
2500,0.15968192,0.26609856,,,,,,,,,,,,,,
2600,0.086805314,0.270954,,,,,,,,,,,,,,
2700,0.12601328,0.3061045,,,,,,,,,,,,,,
2729,,,0.7443278176443917,0.2659053291593279,0.7182545745111142,0.2903202295169175,3554.0,0.7354741441374616,0.2918545047320057,3581.0,1190.480677843094,1781.675681591034,1190.480677843094,590.9139516353607,0.2578799724578857,0.0
2800,0.40258032,0.23659442,,,,,,,,,,,,,,
2900,0.10735472,0.3702421,,,,,,,,,,,,,,
3000,0.21468426,0.27592367,,,,,,,,,,,,,,
3100,0.10623625,0.3010044,,,,,,,,,,,,,,
3200,0.19316857,0.24299236,,,,,,,,,,,,,,
3300,0.11371929,0.25771785,,,,,,,,,,,,,,
3400,0.14048378,0.25986138,,,,,,,,,,,,,,
3500,0.1362176,0.26858145,,,,,,,,,,,,,,
3600,0.06318157,0.3128198,,,,,,,,,,,,,,
3700,0.104443185,0.24070692,,,,,,,,,,,,,,
3733,,,0.7462871415274483,0.2643709182739258,0.7200352760533906,0.2889667397210889,3554.0,0.737224170862713,0.2904906647060877,3581.0,1300.502633810043,1895.245577096939,1300.502633810043,594.4258074760437,0.2864348888397217,0.0
3800,0.06143656,0.30746964,,,,,,,,,,,,,,
3900,0.09024778,0.282559,,,,,,,,,,,,,,
4000,0.08242963,0.33979395,,,,,,,,,,,,,,
4100,0.07674091,0.2600378,,,,,,,,,,,,,,
4200,0.16089493,0.27837944,,,,,,,,,,,,,,
4300,0.06624374,0.2547544,,,,,,,,,,,,,,
4400,0.093258105,0.32672924,,,,,,,,,,,,,,
4500,0.24199817,0.29764265,,,,,,,,,,,,,,
4600,0.12077754,0.21592554,,,,,,,,,,,,,,
4700,0.074454494,0.29620418,,,,,,,,,,,,,,
4737,,,0.7478565488542829,0.2632683174950735,0.7214911895047833,0.2880394312526378,3554.0,0.7386620166547403,0.2895234424087196,3581.0,1410.531741142273,2008.8203666210168,1410.531741142273,597.938107252121,0.3122990131378174,0.0
4800,0.11231505,0.26632106,,,,,,,,,,,,,,
4900,0.20926142,0.2719499,,,,,,,,,,,,,,
5000,0.18791641,0.18050358,,,,,,,,,,,,,,
5100,0.11236392,0.23872805,,,,,,,,,,,,,,
5200,0.08795492,0.23792781,,,,,,,,,,,,,,
5300,0.43666092,0.17577559,,,,,,,,,,,,,,
5400,0.115849555,0.25844216,,,,,,,,,,,,,,
5500,0.078014344,0.35083273,,,,,,,,,,,,,,
5600,0.18968329,0.2832251,,,,,,,,,,,,,,
5700,0.14386055,0.3090663,,,,,,,,,,,,,,
5740,,,0.7488635608128139,0.2625240768705095,0.7223753577615011,0.2874222789242754,3554.0,0.7395637211803616,0.2888648217698443,3581.0,1520.595632314682,2122.4307205677032,1520.595632314682,601.4507505893707,0.3384077548980713,0.0
5800,0.11309076,0.34792936,,,,,,,,,,,,,,
5900,0.103981495,0.26676935,,,,,,,,,,,,,,
6000,0.08754071,0.3417859,,,,,,,,,,,,,,
6100,0.06334595,0.23028937,,,,,,,,,,,,,,
6200,0.076736115,0.26301366,,,,,,,,,,,,,,
6300,0.100546844,0.33421353,,,,,,,,,,,,,,
6400,0.1401326,0.2586277,,,,,,,,,,,,,,
6500,0.08441836,0.3371728,,,,,,,,,,,,,,
6600,0.13020149,0.2511803,,,,,,,,,,,,,,
6700,0.08100065,0.25598776,,,,,,,,,,,,,,
6742,,,0.7492627416338239,0.2622970853533063,0.7227151212762029,0.2872364943659433,3554.0,0.7399001730050964,0.2886854830616447,3581.0,1630.5625216960907,2235.947745323181,1630.5625216960907,604.9648382663727,0.3667974472045898,0.0
6800,0.20308279,0.26446787,,,,,,,,,,,,,,
6900,0.042460732,0.25841773,,,,,,,,,,,,,,
7000,0.18865587,0.2116462,,,,,,,,,,,,,,
7100,0.12834789,0.28056526,,,,,,,,,,,,,,
7200,0.0439533,0.3476317,,,,,,,,,,,,,,
7300,0.14318582,0.2533028,,,,,,,,,,,,,,
7400,0.16656227,0.27511495,,,,,,,,,,,,,,
7500,0.13502924,0.21505934,,,,,,,,,,,,,,
7600,0.12523477,0.31303975,,,,,,,,,,,,,,
7700,0.18282028,0.25431463,,,,,,,,,,,,,,
7746,,,0.7499571527753558,0.261735337121146,0.723305414014139,0.2867864244897914,3554.0,0.7404867650010472,0.2882114848222389,3581.0,1740.5732715129852,2349.50802397728,1740.5732715129852,608.478761434555,0.3947665691375732,0.0
7800,0.08714253,0.28061065,,,,,,,,,,,,,,
7900,0.059731554,0.2947331,,,,,,,,,,,,,,
8000,0.12528156,0.2884926,,,,,,,,,,,,,,
8100,0.14011554,0.29737222,,,,,,,,,,,,,,
8200,0.11805839,0.3126666,,,,,,,,,,,,,,
8300,0.13647692,0.32830957,,,,,,,,,,,,,,
8400,0.08104216,0.27509433,,,,,,,,,,,,,,
8500,0.31114772,0.30792043,,,,,,,,,,,,,,
8600,0.104354,0.20531997,,,,,,,,,,,,,,
8700,0.09234945,0.2612247,,,,,,,,,,,,,,
8750,,,0.7504840578351702,0.2613704204559326,0.7237456777354742,0.2865126764901783,3554.0,0.7409280043545797,0.2879248360487643,3581.0,1850.625381946564,2463.1094250679016,1850.625381946564,611.9914157390594,0.4238789081573486,0.0
8750,,,,,,,,,,,1850.6253819465637,,,,,0.0
