global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,26.053701,33.619553,,,,,,,,,,,,,,
1,,,7.763394,4.1193855027799176,7.5782866,3.7919374305991407,5348.0,7.599229,3.9952877135254807,2472.0,127.73932814598083,393.8962218761444,127.73932814598083,266.1567747592926,0.0,0.0
100,0.8768245,5.8701696,,,,,,,,,,,,,,
200,0.4482888,5.7894754,,,,,,,,,,,,,,
300,1.7709295,5.620004,,,,,,,,,,,,,,
400,1.2486389,5.4237165,,,,,,,,,,,,,,
500,1.3533975,4.870099,,,,,,,,,,,,,,
600,2.1908534,4.1895924,,,,,,,,,,,,,,
633,,,1.731378,1.0421927457724869,1.6362473,0.969806401776662,5348.0,1.5933617,0.9890114354193326,2472.0,1574.7836694717407,1955.618146657944,1574.7836694717407,380.7729184627533,0.0520830154418945,0.0
700,2.3103065,3.880043,,,,,,,,,,,,,,
800,1.2015097,3.537987,,,,,,,,,,,,,,
900,1.3562572,3.3171668,,,,,,,,,,,,,,
1000,1.4454869,3.1683202,,,,,,,,,,,,,,
1100,2.0376494,3.1177979,,,,,,,,,,,,,,
1200,2.7867017,2.9688866,,,,,,,,,,,,,,
1229,,,0.70260745,0.6402578376794609,0.78430516,0.6599719982619611,5348.0,0.6930949,0.6175735786972153,2472.0,3022.463376760483,3520.3511185646057,3022.463376760483,497.7688100337982,0.1004714965820312,0.0
1300,2.3697197,2.9137614,,,,,,,,,,,,,,
1400,2.1405857,2.7366977,,,,,,,,,,,,,,
1500,2.2789843,2.7252173,,,,,,,,,,,,,,
1600,2.7906513,2.6935506,,,,,,,,,,,,,,
1700,2.4118237,2.6121356,,,,,,,,,,,,,,
1800,2.3055902,2.5874026,,,,,,,,,,,,,,
1802,,,0.40471458,0.4288364934031237,0.50880057,0.4800463477043403,5348.0,0.4062324,0.4150265066114191,2472.0,4470.029826641083,5084.671627998352,4470.029826641083,614.4662919044495,0.148249864578247,0.0
1900,1.7896948,2.4705684,,,,,,,,,,,,,,
2000,2.84072,2.4895782,,,,,,,,,,,,,,
2100,4.031805,2.5080793,,,,,,,,,,,,,,
2200,2.5870233,2.4084818,,,,,,,,,,,,,,
2300,2.6722484,2.3602216,,,,,,,,,,,,,,
2365,,,0.27778074,0.3242048822377447,0.36898127,0.3829285955680008,5348.0,0.27826777,0.3163122296020961,2472.0,5917.94594168663,6650.6303107738495,5917.94594168663,732.453049659729,0.1953680515289306,0.0
2400,2.8420656,2.2890832,,,,,,,,,,,,,,
2500,3.7068584,2.3989546,,,,,,,,,,,,,,
2600,2.4024258,2.256837,,,,,,,,,,,,,,
2700,3.212821,2.1902752,,,,,,,,,,,,,,
2800,3.0099924,2.148508,,,,,,,,,,,,,,
2900,2.8218176,2.1780763,,,,,,,,,,,,,,
2920,,,0.21824981,0.2679825610472069,0.30206114,0.3277555158596051,5348.0,0.21979822,0.2606178782523917,2472.0,7369.348062515259,8218.419664621353,7369.348062515259,848.7806849479675,0.245906114578247,0.0
3000,2.7516053,2.215361,,,,,,,,,,,,,,
3100,2.4794064,2.2739046,,,,,,,,,,,,,,
3200,3.2430685,2.1322913,,,,,,,,,,,,,,
3300,2.4318602,2.108732,,,,,,,,,,,,,,
3400,3.9527762,2.152805,,,,,,,,,,,,,,
3468,,,0.19220413,0.2387984059834303,0.2682903,0.296866702071163,5348.0,0.19061394,0.2307395446143846,2472.0,8816.63648033142,9784.333974123,8816.63648033142,967.3462674617768,0.2976477146148681,0.0
3500,3.7532108,2.0543816,,,,,,,,,,,,,,
3600,2.5295568,2.0747185,,,,,,,,,,,,,,
3700,3.0042834,2.1083798,,,,,,,,,,,,,,
3800,11.040768,2.1051,,,,,,,,,,,,,,
3900,3.1954432,1.9809474,,,,,,,,,,,,,,
4000,3.3887777,2.0033638,,,,,,,,,,,,,,
4009,,,0.16742158,0.2126805351711228,0.24788384,0.277680683628639,5348.0,0.17202456,0.2117685292385188,2472.0,10267.703375816343,11353.541354179382,10267.703375816343,1085.4256989955902,0.349942684173584,0.0
