,workload,trial,val target metric name,val target metric value,val target reached,best metric value on val,time to best eval on val (s),time to target on val (s),step_time (s),step_hint
8,criteo1tb_pytorch,trial_1,validation/loss,0.123735,False,0.1247600935825481,13225.125183820724,inf,1.6236787798577117,10666
17,criteo1tb_pytorch,trial_1,validation/loss,0.123735,False,0.1246872729949098,12874.40962576866,inf,1.6236787798577117,10666
26,criteo1tb_pytorch,trial_1,validation/loss,0.123735,False,0.1245314421152931,13222.567651748655,inf,1.6236787798577117,10666
6,fastmri_pytorch,trial_1,validation/ssim,0.723653,True,0.7246228391425155,613.2840929031372,613.2840929031372,1.4904196197922166,18094
15,fastmri_pytorch,trial_1,validation/ssim,0.723653,True,0.7243785611283061,1482.8616108894348,1482.8616108894348,1.4904196197922166,18094
24,fastmri_pytorch,trial_1,validation/ssim,0.723653,True,0.7255947304093978,2106.0691368579865,2106.0691368579865,1.4904196197922166,18094
2,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,22.07989010891801,15487.778035879135,15487.778035879135,0.38991462556367873,72000
11,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,22.194602858096868,15473.61393904686,15473.61393904686,0.38991462556367873,72000
20,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,22.18767477822919,15474.614253282549,15474.614253282549,0.38991462556367873,72000
7,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.63706,71828.89688515663,inf,0.6803542879054202,195999
16,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.6321,71917.99121046066,inf,0.6803542879054202,195999
25,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.62912,73814.16553616524,inf,0.6803542879054202,195999
5,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.65188,95112.291077137,inf,0.836193706559218,167999
14,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.63988,92518.16776490211,inf,0.836193706559218,167999
23,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.63546,79710.52410244942,inf,0.836193706559218,167999
0,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.0881475401921498,54110.95698642731,inf,0.753791832583733,76000
9,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.0869888475836431,55872.84199619293,inf,0.753791832583733,76000
18,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.0974170810602037,57379.05285215378,inf,0.753791832583733,76000
1,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.1248394727948631,30376.539126873016,inf,0.7946280593788139,38400
10,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.1238642398493699,31194.286854982376,inf,0.7946280593788139,38400
19,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.122840728045189,30464.460448026657,inf,0.7946280593788139,38400
3,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.2842971075112241,1833.689061880112,1833.689061880112,0.22635081636205848,52000
12,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.283063031144156,2299.4005167484283,1848.2556867599487,0.22635081636205848,52000
21,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,False,0.2767534144725022,1834.9736561775208,inf,0.22635081636205848,52000
4,wmt_pytorch,trial_1,validation/bleu,30.8491,False,28.617424194709447,8412.186606645584,inf,0.13599101544133538,120000
13,wmt_pytorch,trial_1,validation/bleu,30.8491,False,28.72567705312632,9069.364726543428,inf,0.13599101544133538,120000
22,wmt_pytorch,trial_1,validation/bleu,30.8491,False,28.94092397481339,10336.606457948685,inf,0.13599101544133538,120000
