,workload,trial,val target metric name,val target metric value,val target reached,best metric value on val,time to best eval on val (s),time to target on val (s),step_time (s),step_hint
0,criteo1tb_pytorch,trial_1,validation/loss,0.123735,False,0.7420393326127536,5745.75604391098,inf,1.7342784383950187,10666
8,criteo1tb_pytorch,trial_1,validation/loss,0.123735,False,0.6935424231991638,7540.4881246089935,inf,1.7342784383950187,10666
16,criteo1tb_pytorch,trial_1,validation/loss,0.123735,False,0.2746304781954123,45.0601065158844,inf,1.7342784383950187,10666
7,fastmri_pytorch,trial_1,validation/ssim,0.723653,False,0.2012305401923888,305.9110336303711,inf,1.6517848136590747,18094
15,fastmri_pytorch,trial_1,validation/ssim,0.723653,False,0.2391006735918155,1167.151532649994,inf,1.6517848136590747,18094
23,fastmri_pytorch,trial_1,validation/ssim,0.723653,False,0.263458148911218,1959.0026459693909,inf,1.6517848136590747,18094
1,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,False,61915.85468387068,20622.677280426025,inf,0.3880395425198473,72000
9,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,False,62031.94426540932,2632.473082780838,inf,0.3880395425198473,72000
17,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,False,62047.98170979637,2631.2826018333435,inf,0.3880395425198473,72000
2,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.00064,10132.714797735214,inf,0.6934786466962689,195999
10,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.00186,147.69225549697876,inf,0.6934786466962689,195999
18,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.00106,10122.06221485138,inf,0.6934786466962689,195999
5,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.01472,51474.25123643875,inf,0.8332489562823742,167999
13,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.0153,38611.8392932415,inf,0.8332489562823742,167999
21,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.0162,10408.924440860748,inf,0.8332489562823742,167999
6,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,1.1905952783276204,1483.6565780639648,inf,0.8003201571982819,38400
14,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,1.1749239607975668,1510.6380097866058,inf,0.8003201571982819,38400
22,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,2.7552648095399026,1491.698585987091,inf,0.8003201571982819,38400
3,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,False,0.0265125543383974,2303.9538555145264,inf,0.22019732958401278,52000
11,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,False,0.0253803268372984,4084.8578436374655,inf,0.22019732958401278,52000
19,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,False,0.0244218579017012,1401.6806559562683,inf,0.22019732958401278,52000
4,wmt_pytorch,trial_1,validation/bleu,30.8491,False,0.0,65.99234056472778,inf,0.13560123231071533,120000
12,wmt_pytorch,trial_1,validation/bleu,30.8491,False,0.0,66.7692539691925,inf,0.13560123231071533,120000
20,wmt_pytorch,trial_1,validation/bleu,30.8491,False,0.0,65.7143611907959,inf,0.13560123231071533,120000
