,workload,trial,val target metric name,val target metric value,val target reached,best metric value on val,time to best eval on val (s),time to target on val (s),step_time (s),step_hint
7,criteo1tb_pytorch,trial_1,validation/loss,0.123735,False,0.1245156787076769,8925.902681350708,inf,0.8716889780526063,10666
16,criteo1tb_pytorch,trial_1,validation/loss,0.123735,False,0.1246349179449764,8927.380878210068,inf,0.8716889780526063,10666
25,criteo1tb_pytorch,trial_1,validation/loss,0.123735,False,0.1244308433940886,8941.602174282074,inf,0.8716889780526063,10666
6,fastmri_pytorch,trial_1,validation/ssim,0.723653,True,0.7238145784239589,1210.82470870018,1210.82470870018,1.0034985877952545,18094
14,fastmri_pytorch,trial_1,validation/ssim,0.723653,True,0.7253597261668191,413.7577021121979,413.7577021121979,1.0034985877952545,18094
23,fastmri_pytorch,trial_1,validation/ssim,0.723653,True,0.7248488443918824,1226.7089586257937,1226.7089586257937,1.0034985877952545,18094
2,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,21.65965507077899,18048.05788230896,18048.05788230896,0.41890269474514635,72000
10,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,21.541202976976333,18047.212738990784,18047.212738990784,0.41890269474514635,72000
19,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,21.47873619618831,18064.77754664421,18064.77754664421,0.41890269474514635,72000
15,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.64046,73874.28616714478,inf,0.6836970506079305,195999
24,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.6362,65952.96807479858,inf,0.6836970506079305,195999
5,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.63986,90066.70081114769,inf,0.8338862847855913,167999
13,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.64926,95094.78585338593,inf,0.8338862847855913,167999
22,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.63254,95183.57873654366,inf,0.8338862847855913,167999
0,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.0974267368319413,55863.70291638374,inf,0.7468821305749097,76000
8,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.0925505721044754,54127.586879491806,inf,0.7468821305749097,76000
17,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.0892289866267561,54110.279007434845,inf,0.7468821305749097,76000
1,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.1235262878385555,28968.42835593224,inf,0.7926249859076934,38400
9,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.1229083184473519,31358.717023849487,inf,0.7926249859076934,38400
18,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.1243856515231979,31383.78348493576,inf,0.7926249859076934,38400
3,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.2828293164572896,2736.801793575287,2736.801793575287,0.23952572834732427,52000
11,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.289009383659962,2754.665871620178,2754.665871620178,0.23952572834732427,52000
20,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,False,0.2791888698516637,3202.3710107803345,inf,0.23952572834732427,52000
4,wmt_pytorch,trial_1,validation/bleu,30.8491,False,28.770567578614664,10342.10464835167,inf,0.16550012969135225,120000
12,wmt_pytorch,trial_1,validation/bleu,30.8491,False,28.92105436323145,10989.149600744247,inf,0.16550012969135225,120000
21,wmt_pytorch,trial_1,validation/bleu,30.8491,False,28.899359793981223,10356.82978105545,inf,0.16550012969135225,120000
