,workload,trial,val target metric name,val target metric value,val target reached,best metric value on val,time to best eval on val (s),time to target on val (s),step_time (s),step_hint
7,criteo1tb_pytorch,trial_1,validation/loss,0.123735,True,0.1236418058115192,13245.597971439362,13245.597971439362,1.7054166582782884,10666
16,criteo1tb_pytorch,trial_1,validation/loss,0.123735,True,0.1236271185054896,11453.162363290789,11453.162363290789,1.7054166582782884,10666
25,criteo1tb_pytorch,trial_1,validation/loss,0.123735,True,0.1235829109362876,11442.823273420334,11442.823273420334,1.7054166582782884,10666
5,fastmri_pytorch,trial_1,validation/ssim,0.723653,False,0.7234895155546567,2661.519544124604,inf,1.4423973591704102,18094
14,fastmri_pytorch,trial_1,validation/ssim,0.723653,True,0.7241216433068374,2140.7753801345825,2140.7753801345825,1.4423973591704102,18094
23,fastmri_pytorch,trial_1,validation/ssim,0.723653,False,0.7229361805140335,2348.9730384349823,inf,1.4423973591704102,18094
2,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,22.114038561306867,15479.304972171783,15479.304972171783,0.4285007886035528,72000
10,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,22.185742229829184,15478.263548374176,15478.263548374176,0.4285007886035528,72000
19,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,22.16595542149678,15482.04765534401,15482.04765534401,0.4285007886035528,72000
6,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.63816,51983.53539466858,inf,0.6703783623248911,195999
15,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.642,59974.29382371903,inf,0.6703783623248911,195999
24,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.6409,71826.98644971848,inf,0.6703783623248911,195999
13,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.5923,90022.66450977325,inf,0.8870925731585064,167999
22,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.59646,79713.91579508781,inf,0.8870925731585064,167999
0,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.0904649254091633,57615.9561021328,inf,0.7548205956707059,76000
8,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.0915849949307198,55874.46755671501,inf,0.7548205956707059,76000
17,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.0914980929850818,57617.184262514114,inf,0.7548205956707059,76000
1,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.1478491768454593,30399.52336382866,inf,0.78212867993297,38400
9,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.1425674697050162,30393.79396700859,inf,0.78212867993297,38400
18,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.147791242215034,28954.68890094757,inf,0.78212867993297,38400
3,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.2837708310448286,1833.1845638751984,1833.1845638751984,0.23776478960945152,52000
11,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.2884444074536591,2299.541852712631,2299.541852712631,0.23776478960945152,52000
20,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.2909125253469708,2295.2346851825714,2295.2346851825714,0.23776478960945152,52000
4,wmt_pytorch,trial_1,validation/bleu,30.8491,True,30.94127940168888,14848.086637735369,14848.086637735369,0.17694066299879846,120000
12,wmt_pytorch,trial_1,validation/bleu,30.8491,False,30.83650342543458,20005.26868247986,inf,0.17694066299879846,120000
21,wmt_pytorch,trial_1,validation/bleu,30.8491,True,30.870575583606914,16778.880315303802,16778.880315303802,0.17694066299879846,120000
