,workload,trial,val target metric name,val target metric value,val target reached,best metric value on val,time to best eval on val (s),time to target on val (s),step_time (s),step_hint
8,criteo1tb_pytorch,trial_1,validation/loss,0.123735,True,0.1236812508354591,7497.393135547638,7141.604691028595,1.18504582454593,10666
17,criteo1tb_pytorch,trial_1,validation/loss,0.123735,True,0.1236454748378366,6087.019835233688,6087.019835233688,1.18504582454593,10666
26,criteo1tb_pytorch,trial_1,validation/loss,0.123735,True,0.123726612990728,12517.356907844543,12517.356907844543,1.18504582454593,10666
6,fastmri_pytorch,trial_1,validation/ssim,0.723653,False,0.7231143056239449,1617.665590763092,inf,0.3866886620807985,18094
15,fastmri_pytorch,trial_1,validation/ssim,0.723653,False,0.7231757872951252,2142.100114107132,inf,0.3866886620807985,18094
24,fastmri_pytorch,trial_1,validation/ssim,0.723653,False,0.7233615375061551,1624.206672668457,inf,0.3866886620807985,18094
2,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,21.584650980529226,15476.685742616652,15476.685742616652,0.39309072483558477,72000
11,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,21.744761208603,15471.447128295898,15471.447128295898,0.39309072483558477,72000
20,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,True,21.75125219421063,15471.922557115557,15471.922557115557,0.39309072483558477,72000
7,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.63724,69833.61887001991,inf,0.6849873571941311,195999
16,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.64264,73922.64334130287,inf,0.6849873571941311,195999
25,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.64258,65897.92681455612,inf,0.6849873571941311,195999
5,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.59224,77203.51195073128,inf,0.8496337869111144,167999
14,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.60662,92532.04569506644,inf,0.8496337869111144,167999
23,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.59968,95203.29775571825,inf,0.8496337869111144,167999
0,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.0908318447351904,50630.20197486877,inf,0.7507184025867658,76000
9,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.0921064066045478,52374.13884854317,inf,0.7507184025867658,76000
18,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.093863757060783,52373.02536725998,inf,0.7507184025867658,76000
1,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.1342635060107179,28934.32774949073,inf,0.789905564129319,38400
10,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.1670545068314585,30413.91596698761,inf,0.789905564129319,38400
19,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,False,0.1314826437503017,30405.68972826004,inf,0.789905564129319,38400
3,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.2937916287114694,2281.462235212326,1830.406593322754,0.2350472339184847,52000
12,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.282273613537902,1833.473667144776,1833.473667144776,0.2350472339184847,52000
21,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.2846925562359295,1848.3308384418488,1848.3308384418488,0.2350472339184847,52000
4,wmt_pytorch,trial_1,validation/bleu,30.8491,True,30.89810474410816,14214.779582500458,14214.779582500458,0.14536654309265207,120000
13,wmt_pytorch,trial_1,validation/bleu,30.8491,False,30.691327352494376,17533.78046321869,inf,0.14536654309265207,120000
22,wmt_pytorch,trial_1,validation/bleu,30.8491,True,30.897467563003804,14200.647830486298,14200.647830486298,0.14536654309265207,120000
