,workload,trial,val target metric name,val target metric value,val target reached,best metric value on val,time to best eval on val (s),time to target on val (s),step_time (s),step_hint
5,criteo1tb_jax,trial_1,validation/loss,0.123735,True,0.1236356907515324,7854.423001766205,7854.423001766205,0.900927458493366,10666
14,criteo1tb_jax,trial_1,validation/loss,0.123735,True,0.1236501173016314,8568.097370386124,8568.097370386124,0.900927458493366,10666
23,criteo1tb_jax,trial_1,validation/loss,0.123735,True,0.1236637634250791,8206.103132247925,8206.103132247925,0.900927458493366,10666
1,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7238203487707513,1615.2845153808594,1615.2845153808594,0.3907451132582269,18094
10,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7241842240916925,1620.5153810977936,1620.5153810977936,0.3907451132582269,18094
19,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7247785698113042,2271.625893354416,2271.625893354416,0.3907451132582269,18094
2,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,21.796921650781453,20589.321794748303,20589.321794748303,0.4369074667928172,72000
11,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,21.457129478766408,20589.912857055664,20589.912857055664,0.4369074667928172,72000
20,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,21.228251216355208,20593.007669210438,20593.007669210438,0.4369074667928172,72000
7,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.74972,59916.65886712074,inf,0.25078913028372907,195999
16,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.74909997,61908.166714668274,inf,0.25078913028372907,195999
25,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.75031996,59922.17208194733,inf,0.25078913028372907,195999
3,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,False,0.74781996,77159.16147780418,inf,0.465805622122026,167999
12,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,False,0.74992,79731.53126645088,inf,0.465805622122026,167999
21,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,False,0.74799997,74587.84833478928,inf,0.465805622122026,167999
8,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.1414184328682469,64979.31014919281,inf,2.5370693297275118,76000
17,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.1461787283348621,61490.05108809471,inf,2.5370693297275118,76000
26,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.1456186935740839,64975.10295176506,inf,2.5370693297275118,76000
4,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.1594457587022642,53800.03012371063,inf,2.7372216326849665,38400
13,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.1540578380727079,55276.91480922699,inf,2.7372216326849665,38400
22,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.1626514749191329,55243.57709980011,inf,2.7372216326849665,38400
6,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,True,0.2813744785227667,3634.618623733521,3634.618623733521,0.1910767921026944,52000
15,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,True,0.2887430901808062,4991.965915679932,4991.965915679932,0.1910767921026944,52000
24,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,True,0.2853125566948717,4089.775626659393,4089.775626659393,0.1910767921026944,52000
0,wmt_jax,trial_1,validation/bleu,30.8491,False,30.658883813091023,14227.413651227953,inf,0.12590835478998,120000
9,wmt_jax,trial_1,validation/bleu,30.8491,True,30.9476160953902,14865.7885992527,14865.7885992527,0.12590835478998,120000
18,wmt_jax,trial_1,validation/bleu,30.8491,True,30.863299473481064,12939.180624485016,12939.180624485016,0.12590835478998,120000
