,workload,trial,val target metric name,val target metric value,val target reached,best metric value on val,time to best eval on val (s),time to target on val (s),step_time (s),step_hint
1,criteo1tb_jax,trial_1,validation/loss,0.123735,False,0.1239534508040601,9635.864085197449,inf,1.550644798382469,10666
10,criteo1tb_jax,trial_1,validation/loss,0.123735,False,0.1242694401308509,12867.50927901268,inf,1.550644798382469,10666
19,criteo1tb_jax,trial_1,validation/loss,0.123735,False,0.124093955634715,12860.401985406876,inf,1.550644798382469,10666
7,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7242662454496693,2579.977390766144,2579.977390766144,0.10992968284881317,18094
16,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7239255202105023,1920.545307636261,1920.545307636261,0.10992968284881317,18094
25,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7236956680632738,1035.743106365204,1035.743106365204,0.10992968284881317,18094
3,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,21.151323902362865,23162.07039999962,23162.07039999962,0.43626168098213475,72000
12,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,20.93162548018871,23164.03602838516,23164.03602838516,0.43626168098213475,72000
21,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,21.17004626898918,23163.02198767662,23163.02198767662,0.43626168098213475,72000
8,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.7528,71884.30445122719,inf,0.3472091664416975,195999
17,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.75211996,65897.27553248405,inf,0.3472091664416975,195999
26,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.73622,73915.94854426384,inf,0.3472091664416975,195999
5,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,False,0.74872,84874.52632522583,inf,0.5355774306471934,167999
14,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,False,0.74579996,95155.82486248016,inf,0.5355774306471934,167999
23,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,False,0.56424,95249.69734692574,inf,0.5355774306471934,167999
0,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.4679959445758702,64947.58217930794,inf,2.2596808752887014,76000
9,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.4221310288224786,64933.15110611916,inf,2.2596808752887014,76000
18,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.4616327910008207,64948.66587519646,inf,2.2596808752887014,76000
2,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.1596099068218027,55259.41744112968,inf,2.301104343183848,38400
11,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.1568869791918119,55250.44359540939,inf,2.301104343183848,38400
20,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.1707430116352049,55216.43422389031,inf,2.301104343183848,38400
4,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,True,0.2823420118969963,5894.730070829392,5894.730070829392,0.1920906659445254,52000
13,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,True,0.2846638875587433,6349.506216049194,6349.506216049194,0.1920906659445254,52000
22,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,True,0.2875478149042345,6800.483803510666,6800.483803510666,0.1920906659445254,52000
6,wmt_jax,trial_1,validation/bleu,30.8491,False,30.6280545403418,14868.256608009338,inf,0.1251175539318001,120000
15,wmt_jax,trial_1,validation/bleu,30.8491,False,30.751545467615685,15515.51091647148,inf,0.1251175539318001,120000
24,wmt_jax,trial_1,validation/bleu,30.8491,False,30.456213206014148,14867.072550296783,inf,0.1251175539318001,120000
