,workload,trial,val target metric name,val target metric value,val target reached,best metric value on val,time to best eval on val (s),time to target on val (s),step_time (s),step_hint
5,criteo1tb_jax,trial_1,validation/loss,0.123735,True,0.1236922431841871,6425.629549503326,6425.629549503326,0.9130992993330321,10666
14,criteo1tb_jax,trial_1,validation/loss,0.123735,True,0.1236922586345227,7492.6946766376495,7492.6946766376495,0.9130992993330321,10666
23,criteo1tb_jax,trial_1,validation/loss,0.123735,True,0.1236408078557955,8208.519079446793,7851.880496025085,0.9130992993330321,10666
1,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7244943802317811,924.8731529712676,924.8731529712676,0.10824602795398142,18094
10,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7236940193927617,2041.2998707294464,2041.2998707294464,0.10824602795398142,18094
19,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7240358437456036,1800.7732002735138,1800.7732002735138,0.10824602795398142,18094
2,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,21.52338881789557,23164.181562185287,23164.181562185287,0.4370215902234469,72000
11,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,21.64191985260924,25735.729759454727,25735.729759454727,0.4370215902234469,72000
20,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,21.9808280658622,25733.847669363025,25733.847669363025,0.4370215902234469,72000
7,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.75258,61911.16003417969,inf,0.2521924206204958,195999
16,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.75413996,61916.83682227135,inf,0.2521924206204958,195999
25,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.75536,47948.21336722374,inf,0.2521924206204958,195999
3,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,True,0.77342,66879.37250804901,66879.37250804901,0.4629556156426727,167999
12,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,True,0.77709997,72015.5787293911,72015.5787293911,0.4629556156426727,167999
21,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,True,0.77594,74585.6678788662,74585.6678788662,0.4629556156426727,167999
8,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.1473663882585815,64933.09971880913,inf,2.4926909356311806,76000
17,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.1461207937044368,64944.95679020882,inf,2.4926909356311806,76000
26,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.1492878868343552,64943.34402728081,inf,2.4926909356311806,76000
4,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.1603727127890696,55220.70586013794,inf,2.5031315810127652,38400
13,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.1529088012359387,55258.113032102585,inf,2.5031315810127652,38400
22,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.154337855453097,55216.42438077927,inf,2.5031315810127652,38400
6,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,False,0.2776481983560332,4085.9088344573975,inf,0.1904826010022041,52000
15,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,False,0.2746764525264623,5444.092821359634,inf,0.1904826010022041,52000
24,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,False,0.2740576238043504,4088.2416999340057,inf,0.1904826010022041,52000
0,wmt_jax,trial_1,validation/bleu,30.8491,False,29.846879082437127,12936.535746574402,inf,0.12476112412788223,120000
9,wmt_jax,trial_1,validation/bleu,30.8491,False,29.301186266855005,14222.570494651794,inf,0.12476112412788223,120000
18,wmt_jax,trial_1,validation/bleu,30.8491,False,30.024632086852844,12292.1887114048,inf,0.12476112412788223,120000
