,workload,trial,val target metric name,val target metric value,val target reached,best metric value on val,time to best eval on val (s),time to target on val (s),step_time (s),step_hint
3,criteo1tb_jax,trial_1,validation/loss,0.123735,True,0.1236780861794127,7853.642936706543,7140.8094828128815,1.7633445439952435,10666
12,criteo1tb_jax,trial_1,validation/loss,0.123735,False,0.1238261394401308,13222.375915288923,inf,1.7633445439952435,10666
21,criteo1tb_jax,trial_1,validation/loss,0.123735,False,0.1237888046626876,13213.711726427078,inf,1.7633445439952435,10666
1,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7237302214494232,1731.1340837478638,1731.1340837478638,1.1496743187308311,18094
10,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7237188181450478,2594.667304039001,2594.667304039001,1.1496743187308311,18094
19,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7238083272149338,2397.40203499794,2397.40203499794,1.1496743187308311,18094
0,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,21.63105596611465,12875.024502277374,12875.024502277374,0.22480757398142498,72000
9,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,21.74279164065674,12876.279433250427,12876.279433250427,0.22480757398142498,72000
18,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,21.683878980951235,12875.283079862596,12875.283079862596,0.22480757398142498,72000
4,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.32668,2046.26813864708,inf,0.25022096920710724,195999
13,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.37228,12025.559068441393,inf,0.25022096920710724,195999
22,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.3381,43958.733882665634,inf,0.25022096920710724,195999
7,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,True,0.77448,82325.32389187813,82325.32389187813,0.522412035514241,167999
16,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,False,0.75714,87510.92576980591,inf,0.522412035514241,167999
25,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,True,0.77344,87468.86081624031,87468.86081624031,0.522412035514241,167999
5,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.1549944479312509,65011.38493800163,inf,2.5689073843042243,76000
14,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.5567904214744364,65011.67010974884,inf,2.5689073843042243,76000
23,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.1187177135132525,64999.67829537392,inf,2.5689073843042243,76000
8,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.1350263119779848,55134.126436948776,inf,1.2618603325971023,38400
17,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.1357311833148264,55131.02417516709,inf,1.2618603325971023,38400
26,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.1353352966735866,55139.79888033867,inf,1.2618603325971023,38400
6,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,True,0.2882117430802368,5446.973826885223,5446.973826885223,0.2001300537781464,52000
15,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,True,0.2861864452395915,5446.995653152466,5446.995653152466,0.2001300537781464,52000
24,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,True,0.2842350234539836,5446.266435623169,5446.266435623169,0.2001300537781464,52000
2,wmt_jax,trial_1,validation/bleu,30.8491,True,30.85016934441424,16161.202248096466,16161.202248096466,0.1313800575391753,120000
11,wmt_jax,trial_1,validation/bleu,30.8491,True,30.857123789991796,21309.901624917984,21309.901624917984,0.1313800575391753,120000
20,wmt_jax,trial_1,validation/bleu,30.8491,True,30.921054351078247,12938.92156648636,12938.92156648636,0.1313800575391753,120000
