,workload,trial,val target metric name,val target metric value,val target reached,best metric value on val,time to best eval on val (s),time to target on val (s),step_time (s),step_hint
3,criteo1tb_jax,trial_1,validation/loss,0.123735,True,0.1236824611515756,7494.73098731041,7494.73098731041,0.8966913763762121,10666
12,criteo1tb_jax,trial_1,validation/loss,0.123735,True,0.1236955728693145,8204.54053902626,8204.54053902626,0.8966913763762121,10666
21,criteo1tb_jax,trial_1,validation/loss,0.123735,True,0.1237031599809202,8561.992237091064,8205.83998131752,0.8966913763762121,10666
1,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7237456777354742,1850.625381946564,1850.625381946564,0.3698403887300683,18094
10,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7239381600177617,1854.5847795009613,1854.5847795009613,0.3698403887300683,18094
19,fastmri_jax,trial_1,validation/ssim,0.723653,True,0.7237980917188379,1610.791705369949,1610.791705369949,0.3698403887300683,18094
0,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,22.063707391204822,15451.99134683609,15451.99134683609,0.22534573858673873,72000
9,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,22.084079790540933,15451.332998037338,15451.332998037338,0.22534573858673873,72000
18,finewebedu_lm_jax,trial_1,validation/ppl,22.2995,True,21.41176473745201,18017.74631667137,18017.74631667137,0.22534573858673873,72000
4,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.03464,2051.405519247055,inf,0.44776864374720626,195999
13,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.04014,2058.181893348694,inf,0.44776864374720626,195999
22,imagenet_resnet_jax,trial_1,validation/accuracy,0.77431,False,0.036059998,2058.049063682556,inf,0.44776864374720626,195999
7,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,True,0.77356,84891.75501847267,84891.75501847267,0.49135053230701276,167999
16,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,True,0.7732,90041.78416395187,90041.78416395187,0.49135053230701276,167999
25,imagenet_vit_jax,trial_1,validation/accuracy,0.77309,True,0.77349997,79757.28538060188,79757.28538060188,0.49135053230701276,167999
5,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.123883551392845,65000.42595148087,inf,2.6878856915000933,76000
14,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.5209675083281031,64987.36187624931,inf,2.6878856915000933,76000
23,librispeech_conformer_jax,trial_1,validation/wer,0.085884,False,0.8858494665186115,65011.33872246742,inf,2.6878856915000933,76000
8,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.1574759812678028,55212.78796505928,inf,2.8562571235897436,38400
17,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.1543088881378844,55199.30320453644,inf,2.8562571235897436,38400
26,librispeech_deepspeech_jax,trial_1,validation/wer,0.119936,False,0.1572828658330517,55205.010649204254,inf,2.8562571235897436,38400
6,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,True,0.286413382088369,5445.974807500839,5445.974807500839,0.19452367417783623,52000
15,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,True,0.2833401175109442,4543.061010599136,4543.061010599136,0.19452367417783623,52000
24,ogbg_jax,trial_1,validation/mean_average_precision,0.28098,True,0.2839604337758715,5444.019295454025,5444.019295454025,0.19452367417783623,52000
2,wmt_jax,trial_1,validation/bleu,30.8491,False,30.80719747887025,18087.94602179528,inf,0.13178440840034025,120000
11,wmt_jax,trial_1,validation/bleu,30.8491,False,30.82293691746224,18733.534309864044,inf,0.13178440840034025,120000
20,wmt_jax,trial_1,validation/bleu,30.8491,True,30.89861759064164,12937.488843202593,12937.488843202593,0.13178440840034025,120000
