,workload,trial,val target metric name,val target metric value,val target reached,best metric value on val,time to best eval on val (s),time to target on val (s),step_time (s),step_hint
4,criteo1tb_pytorch,trial_1,validation/loss,0.123735,True,0.123695969072577,10693.990020275116,10337.671689033508,1.0176147447313595,10666
13,criteo1tb_pytorch,trial_1,validation/loss,0.123735,False,0.1238283343342011,13201.571621894836,inf,1.0176147447313595,10666
22,criteo1tb_pytorch,trial_1,validation/loss,0.123735,True,0.1237318931772052,7484.81304359436,7484.81304359436,1.0176147447313595,10666
7,fastmri_pytorch,trial_1,validation/ssim,0.723653,True,0.7243006614466094,1188.9131379127502,1188.9131379127502,0.37200399077668483,18094
16,fastmri_pytorch,trial_1,validation/ssim,0.723653,True,0.7237026749129502,1414.2303750514984,1414.2303750514984,0.37200399077668483,18094
25,fastmri_pytorch,trial_1,validation/ssim,0.723653,True,0.7241639591833146,1084.00980591774,1084.00980591774,0.37200399077668483,18094
2,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,False,26.85374456024656,18022.233601808548,inf,0.39088582110865655,72000
11,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,False,26.96230657281026,28299.942929506306,inf,0.39088582110865655,72000
20,finewebedu_lm_pytorch,trial_1,validation/ppl,22.2995,False,27.82547828346764,38578.81546521187,inf,0.39088582110865655,72000
5,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.47426,20031.86983823776,inf,0.7580861347745502,195999
14,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.4552,20045.60598516464,inf,0.7580861347745502,195999
23,imagenet_resnet_pytorch,trial_1,validation/accuracy,0.77431,False,0.4676,4114.095727682114,inf,0.7580861347745502,195999
0,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.66804,84876.44285774231,inf,0.798625143555511,167999
9,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.6597,89980.17051744461,inf,0.798625143555511,167999
18,imagenet_vit_pytorch,trial_1,validation/accuracy,0.77309,False,0.66444,87409.16011619568,inf,0.798625143555511,167999
8,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.0877323420074349,64552.02477765083,inf,0.636074872542087,76000
17,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,True,0.0847969873992178,55843.257081747055,55843.257081747055,0.636074872542087,76000
26,librispeech_conformer_pytorch,trial_1,validation/wer,0.085884,False,0.1268092502293245,64541.00859761238,inf,0.636074872542087,76000
1,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,True,0.1198474388065466,36135.45188999176,36135.45188999176,0.4369991325858944,38400
10,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,True,0.1190170424371167,40463.388149023056,40463.388149023056,0.4369991325858944,38400
19,librispeech_deepspeech_pytorch,trial_1,validation/wer,0.119936,True,0.1197798484043837,40477.75217223168,40477.75217223168,0.4369991325858944,38400
6,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.28535290526426,3640.148542404175,3640.148542404175,0.23042852374871498,52000
15,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.2823012178053458,3624.553771257401,3624.553771257401,0.23042852374871498,52000
24,ogbg_pytorch,trial_1,validation/mean_average_precision,0.28098,True,0.283665861188384,4969.322802782059,4969.322802782059,0.23042852374871498,52000
3,wmt_pytorch,trial_1,validation/bleu,30.8491,True,30.88398743654469,21238.623005867004,21238.623005867004,0.1480193403642912,120000
12,wmt_pytorch,trial_1,validation/bleu,30.8491,True,30.954489013105448,19957.71787595749,19957.71787595749,0.1480193403642912,120000
21,wmt_pytorch,trial_1,validation/bleu,30.8491,True,30.914680764174825,16745.45179581642,15461.67885351181,0.1480193403642912,120000
