submission,criteo1tb,fastmri,finewebedu_lm,imagenet_resnet,imagenet_vit,librispeech_conformer,librispeech_deepspeech,ogbg,wmt
schedule_free_adamw,10337.671689033508,1188.9131379127502,inf,inf,inf,inf,40463.388149023056,3640.148542404175,19957.71787595749
schedule_free_adamw_v2,7480.571330547333,1128.837876081467,inf,inf,inf,55846.44081497192,41911.17554831505,6325.430662155151,10325.45705485344
cautious_nadamw,inf,1608.188658952713,25738.981688261032,inf,inf,inf,inf,4992.686820983887,14232.458706855774
lion,inf,1394.1750195026398,23172.039316177368,inf,inf,inf,inf,7223.987207174301,15475.552730083466
muon_torch,7141.604691028595,inf,15471.922557115557,inf,inf,inf,inf,1833.473667144776,14214.779582500458
muon_torch_jax_hps_achandr,inf,1357.4687869548798,10338.734079360962,inf,inf,,inf,inf,inf
muon,inf,1869.765276670456,20594.037749767303,inf,77162.91657114029,inf,inf,inf,inf
nadamw_resnet,inf,1920.545307636261,23163.02198767662,inf,inf,inf,inf,6349.506216049194,inf
ademamix,7839.193164110184,1517.7321906089785,18025.89689064026,inf,inf,48894.85426735878,inf,6329.966245889664,17399.639942407608
schedule_free_adamw_jax,inf,2397.40203499794,12875.283079862596,inf,87468.86081624031,inf,inf,5446.973826885223,16161.202248096466
nadamw,7492.6946766376495,1800.7732002735138,25733.847669363025,inf,72015.5787293911,inf,inf,inf,inf
muon_torch_jax_hps_lr_fix,inf,1482.8616108894348,15474.614253282549,inf,inf,inf,inf,1848.2556867599487,inf
schedule_free_adamw_jax_v2,8204.54053902626,1850.625381946564,15451.99134683609,inf,84891.75501847267,inf,inf,5444.019295454025,inf
nadamw_baselinev05,8206.103132247925,1620.5153810977936,20589.912857055664,inf,inf,inf,inf,4089.775626659393,14865.7885992527
muon_torch_jax_hps,inf,inf,inf,inf,inf,,inf,inf,inf
